equip_index_dec,equip_index_hex,top_list_ptr,top_list_pc,top_list_len_bytes,terminated,hook_sequence,is_nondefault
77,0x4D,CB:0860,0x0B0860,10,True,84->03DB 83->03E1 82->0408,False
78,0x4E,CB:086A,0x0B086A,10,True,84->03DB 83->03E1 82->0408,False
79,0x4F,CB:0874,0x0B0874,10,True,84->03DB 83->03E1 82->0408,False
80,0x50,CB:087E,0x0B087E,10,True,84->03DB 83->03E1 82->0408,False
81,0x51,CB:0888,0x0B0888,10,True,84->03DB 83->03E1 82->0408,False
82,0x52,CB:0892,0x0B0892,10,True,84->03DB 83->03E1 82->0408,False
83,0x53,CB:089C,0x0B089C,10,True,84->03DB 83->03E1 82->0408,False
84,0x54,CB:08A6,0x0B08A6,10,True,84->03DB 83->03E1 82->0408,False
85,0x55,CB:08B0,0x0B08B0,10,True,84->03DB 83->03E1 82->0408,False
86,0x56,CB:08BA,0x0B08BA,10,True,84->03DB 83->03E1 82->0408,False
87,0x57,CB:08C4,0x0B08C4,10,True,84->03DB 83->03E1 82->0408,False
88,0x58,CB:08CE,0x0B08CE,10,True,84->03DB 83->03E1 82->0408,False
89,0x59,CB:08D8,0x0B08D8,10,True,84->03DB 83->03E1 82->0408,False
90,0x5A,CB:08E2,0x0B08E2,10,True,84->03DB 83->03E1 82->0408,False
91,0x5B,CB:08EC,0x0B08EC,10,True,84->03DB 83->03E1 82->0408,False
92,0x5C,CB:08F6,0x0B08F6,10,True,84->03DB 83->03E1 82->0408,False
93,0x5D,CB:0900,0x0B0900,10,True,84->03DB 83->03E1 82->0408,False
94,0x5E,CB:090A,0x0B090A,10,True,84->03DB 83->03E1 82->0408,False
95,0x5F,CB:0914,0x0B0914,10,True,84->03DB 83->03E1 82->0408,False
96,0x60,CB:091E,0x0B091E,10,True,84->03DB 83->03E1 82->0408,False
97,0x61,CB:0928,0x0B0928,10,True,84->03DB 83->03E1 82->0408,False
98,0x62,CB:0932,0x0B0932,10,True,84->03DB 83->03E1 82->0408,False
99,0x63,CB:093C,0x0B093C,10,True,84->03DB 83->03E1 82->0408,False
100,0x64,CB:0946,0x0B0946,10,True,84->03DB 83->03E1 82->0408,False
101,0x65,CB:0950,0x0B0950,10,True,84->03DB 83->03E1 82->0408,False
102,0x66,CB:095A,0x0B095A,10,True,84->03DB 83->03E1 82->0408,False
103,0x67,CB:0964,0x0B0964,10,True,84->03DB 83->03E1 82->0408,False
104,0x68,CB:096E,0x0B096E,10,True,84->03DB 83->03E1 82->0408,False
105,0x69,CB:0978,0x0B0978,10,True,84->03DB 83->03E1 82->0408,False
106,0x6A,CB:0982,0x0B0982,10,True,84->03DB 83->03E1 82->0408,False
107,0x6B,CB:098C,0x0B098C,10,True,84->03DB 83->03E1 82->0408,False
108,0x6C,CB:0996,0x0B0996,10,True,84->03DB 83->03E1 82->0408,False
109,0x6D,CB:09A0,0x0B09A0,10,True,84->03DB 83->03E1 82->0408,False
110,0x6E,CB:09AA,0x0B09AA,10,True,84->03DB 83->03E1 82->0408,False
111,0x6F,CB:09B4,0x0B09B4,10,True,84->03DB 83->03E1 82->0408,False
112,0x70,CB:09BE,0x0B09BE,10,True,84->03DB 83->03E1 82->0408,False
113,0x71,CB:09C8,0x0B09C8,10,True,84->03DB 83->03E1 82->0408,False
114,0x72,CB:09D2,0x0B09D2,13,True,84->03DB 83->09DF C8->09E7 82->0408,True
115,0x73,CB:0A05,0x0B0A05,13,True,84->03DB 83->0A12 C8->0A1A 82->0408,True
116,0x74,CB:0A23,0x0B0A23,13,True,84->03DB 83->0A30 C8->0A38 82->0408,True
117,0x75,CB:0A50,0x0B0A50,10,True,84->03DB 83->0A5A 82->0408,True
118,0x76,CB:0A62,0x0B0A62,13,True,84->03DB 83->09DF C8->09E7 82->0408,True
119,0x77,CB:0A6F,0x0B0A6F,13,True,84->03DB 83->0A12 C8->0A1A 82->0408,True
120,0x78,CB:0A7C,0x0B0A7C,13,True,84->03DB 83->0A30 C8->0A38 82->0408,True
121,0x79,CB:0A89,0x0B0A89,10,True,84->03DB 83->0A5A 82->0408,True
122,0x7A,CB:0A93,0x0B0A93,13,True,84->03DB 83->0AA0 C8->09E7 82->0408,True
123,0x7B,CB:0AA8,0x0B0AA8,16,True,84->03DB 83->0AB8 C8->0AC0 C2->0AE8 82->0408,True
124,0x7C,CB:0AED,0x0B0AED,13,True,84->03DB 83->0A30 C8->0A38 82->0408,True
125,0x7D,CB:0AFA,0x0B0AFA,13,True,84->03DB 83->0A12 C8->0A1A 82->0408,True
126,0x7E,CB:0B07,0x0B0B07,13,True,84->03DB 83->0B14 C8->09E7 82->0408,True
127,0x7F,CB:0B1C,0x0B0B1C,13,True,84->03DB 83->0B29 C8->0AC0 82->0408,True
128,0x80,CB:0B31,0x0B0B31,13,True,84->03DB 83->0A12 C8->0A1A 82->0408,True
129,0x81,CB:0B3E,0x0B0B3E,13,True,84->03DB 83->0A30 C8->0A38 82->0408,True
130,0x82,CB:0B4B,0x0B0B4B,10,True,84->03DB 83->0A5A 82->0408,True
131,0x83,CB:0B55,0x0B0B55,10,True,84->03DB 83->03E1 82->0408,False
132,0x84,CB:0B5F,0x0B0B5F,10,True,84->03DB 83->03E1 82->0408,False
133,0x85,CB:0B69,0x0B0B69,10,True,84->03DB 83->03E1 82->0408,False
134,0x86,CB:0B73,0x0B0B73,10,True,84->03DB 83->03E1 82->0408,False
135,0x87,CB:0B7D,0x0B0B7D,10,True,84->03DB 83->03E1 82->0408,False
136,0x88,CB:0B87,0x0B0B87,10,True,84->03DB 83->03E1 82->0408,False
137,0x89,CB:0B91,0x0B0B91,10,True,84->03DB 83->03E1 82->0408,False
138,0x8A,CB:0B9B,0x0B0B9B,10,True,84->03DB 83->03E1 82->0408,False
139,0x8B,CB:0BA5,0x0B0BA5,10,True,84->03DB 83->03E1 82->0408,False
140,0x8C,CB:0BAF,0x0B0BAF,10,True,84->03DB 83->03E1 82->0408,False
141,0x8D,CB:0BB9,0x0B0BB9,10,True,84->03DB 83->03E1 82->0408,False
142,0x8E,CB:0BC3,0x0B0BC3,10,True,84->03DB 83->03E1 82->0408,False
143,0x8F,CB:0BCD,0x0B0BCD,10,True,84->03DB 83->03E1 82->0408,False
144,0x90,CB:0BD7,0x0B0BD7,10,True,84->03DB 83->03E1 82->0408,False
145,0x91,CB:0BE1,0x0B0BE1,10,True,84->03DB 83->03E1 82->0408,False
146,0x92,CB:0BEB,0x0B0BEB,10,True,84->03DB 83->03E1 82->0408,False
147,0x93,CB:0BF5,0x0B0BF5,10,True,84->03DB 83->03E1 82->0408,False
148,0x94,CB:0BFF,0x0B0BFF,10,True,84->03DB 83->03E1 82->0408,False
149,0x95,CB:0C09,0x0B0C09,10,True,84->03DB 83->03E1 82->0408,False
150,0x96,CB:0C13,0x0B0C13,10,True,84->03DB 83->03E1 82->0408,False
151,0x97,CB:0C1D,0x0B0C1D,10,True,84->03DB 83->03E1 82->0408,False
152,0x98,CB:0C27,0x0B0C27,10,True,84->03DB 83->03E1 82->0408,False
153,0x99,CB:0C31,0x0B0C31,10,True,84->03DB 83->03E1 82->0408,False
154,0x9A,CB:0C3B,0x0B0C3B,10,True,84->03DB 83->03E1 82->0408,False
155,0x9B,CB:0C45,0x0B0C45,10,True,84->03DB 83->03E1 82->0408,False
156,0x9C,CB:0C4F,0x0B0C4F,10,True,84->03DB 83->03E1 82->0408,False
157,0x9D,CB:0C59,0x0B0C59,10,True,84->03DB 83->03E1 82->0408,False
158,0x9E,CB:0C63,0x0B0C63,10,True,84->03DB 83->03E1 82->0408,False
159,0x9F,CB:0C6D,0x0B0C6D,10,True,84->03DB 83->03E1 82->0408,False
160,0xA0,CB:0C77,0x0B0C77,10,True,84->03DB 83->03E1 82->0408,False
161,0xA1,CB:0C81,0x0B0C81,10,True,84->03DB 83->03E1 82->0408,False
162,0xA2,CB:0C8B,0x0B0C8B,10,True,84->03DB 83->03E1 82->0408,False
163,0xA3,CB:0C95,0x0B0C95,10,True,84->03DB 83->03E1 82->0408,False
164,0xA4,CB:0C9F,0x0B0C9F,10,True,84->03DB 83->03E1 82->0408,False
165,0xA5,CB:0CA9,0x0B0CA9,10,True,84->03DB 83->03E1 82->0408,False
166,0xA6,CB:0CB3,0x0B0CB3,10,True,84->03DB 83->03E1 82->0408,False
167,0xA7,CB:0CBD,0x0B0CBD,10,True,84->03DB 83->03E1 82->0408,False
168,0xA8,CB:0CC7,0x0B0CC7,10,True,84->03DB 83->03E1 82->0408,False
169,0xA9,CB:0CD1,0x0B0CD1,10,True,84->03DB 83->03E1 82->0408,False
170,0xAA,CB:0CDB,0x0B0CDB,10,True,84->03DB 83->03E1 82->0408,False
171,0xAB,CB:0CE5,0x0B0CE5,10,True,84->03DB 83->03E1 82->0408,False
172,0xAC,CB:0CEF,0x0B0CEF,10,True,84->03DB 83->03E1 82->0408,False
173,0xAD,CB:0CF9,0x0B0CF9,10,True,84->03DB 83->03E1 82->0408,False
174,0xAE,CB:0D03,0x0B0D03,10,True,84->03DB 83->03E1 82->0408,False
175,0xAF,CB:0D0D,0x0B0D0D,10,True,84->03DB 83->03E1 82->0408,False
176,0xB0,CB:0D17,0x0B0D17,10,True,84->03DB 83->03E1 82->0408,False
177,0xB1,CB:0D21,0x0B0D21,10,True,84->03DB 83->03E1 82->0408,False
178,0xB2,CB:0D2B,0x0B0D2B,10,True,84->03DB 83->03E1 82->0408,False
179,0xB3,CB:0D35,0x0B0D35,10,True,84->03DB 83->03E1 82->0408,False
180,0xB4,CB:0D3F,0x0B0D3F,10,True,84->03DB 83->03E1 82->0408,False
181,0xB5,CB:0D49,0x0B0D49,10,True,84->03DB 83->03E1 82->0408,False
182,0xB6,CB:0D53,0x0B0D53,10,True,84->03DB 83->03E1 82->0408,False
183,0xB7,CB:0D5D,0x0B0D5D,10,True,84->03DB 83->03E1 82->0408,False
184,0xB8,CB:0D67,0x0B0D67,13,True,84->03DB 83->0D74 82->0408 C8->0D7C,True
185,0xB9,CB:0D9B,0x0B0D9B,13,True,84->03DB 83->0DA8 82->0408 C8->0DB0,True
186,0xBA,CB:0DCE,0x0B0DCE,13,True,84->03DB 83->0DDB 82->0408 C8->0DE3,True
187,0xBB,CB:0DF7,0x0B0DF7,13,True,84->03DB 83->0E04 82->0408 C8->0E08,True
188,0xBC,CB:0E20,0x0B0E20,10,True,84->03DB 83->03E1 82->0408,False
189,0xBD,CB:0E2A,0x0B0E2A,10,True,84->03DB 83->03E1 82->0408,False
190,0xBE,CB:0E34,0x0B0E34,10,True,84->03DB 83->03E1 82->0408,False
