pc,snes_lorom,asm,context_hex
0381F5,87:81F5,"STA $0699,X",a9 87 9d 99 07 a9 01 9d d9 07 a9 00 9d 99 06 a9 0f 9d 99 09 9e 19 08 a5 20 30 0e 20 b8 85 64 1e 64 1f 20 49 86 22 d6 b3 80 8a 7a fa 6b da 5a 48
038255,87:8255,"STA $0759,X",29 20 9d d9 08 a9 01 9d d9 09 a9 e0 9d 59 07 a9 89 9d 99 07 a9 01 9d d9 07 a9 00 9d 99 06 a9 0f 9d 99 09 9e 19 08 a5 20 30 10 20 b8 85 a9 ff 85
03825A,87:825A,"STA $0799,X",a9 01 9d d9 09 a9 e0 9d 59 07 a9 89 9d 99 07 a9 01 9d d9 07 a9 00 9d 99 06 a9 0f 9d 99 09 9e 19 08 a5 20 30 10 20 b8 85 a9 ff 85 1e 85 1f 20 49
038264,87:8264,"STA $0699,X",a9 89 9d 99 07 a9 01 9d d9 07 a9 00 9d 99 06 a9 0f 9d 99 09 9e 19 08 a5 20 30 10 20 b8 85 a9 ff 85 1e 85 1f 20 49 86 22 d6 b3 80 8a 7a fa 6b bd
0382B1,87:82B1,"STA $0699,X",10 14 9e 99 09 bd d9 07 30 07 a9 0f 9d 99 06 80 10 9e 99 06 80 0b de 19 06 d0 79 bd 59 06 9d 19 06 bd 59 07 85 2a bd 99 07 85 2b bd 99 06 0a 85
0382C6,87:82C6,"LDA $0759,X",0b de 19 06 d0 79 bd 59 06 9d 19 06 bd 59 07 85 2a bd 99 07 85 2b bd 99 06 0a 85 22 64 23 bd 59 08 8d 2e 11 bd 99 08 8d 2f 11 20 3a 83 bd d9 08
0382CB,87:82CB,"LDA $0799,X",79 bd 59 06 9d 19 06 bd 59 07 85 2a bd 99 07 85 2b bd 99 06 0a 85 22 64 23 bd 59 08 8d 2e 11 bd 99 08 8d 2f 11 20 3a 83 bd d9 08 f0 0a bd 99 06
0382D0,87:82D0,"LDA $0699,X",19 06 bd 59 07 85 2a bd 99 07 85 2b bd 99 06 0a 85 22 64 23 bd 59 08 8d 2e 11 bd 99 08 8d 2f 11 20 3a 83 bd d9 08 f0 0a bd 99 06 18 7d d9 07 9d
0382EC,87:82EC,"LDA $0699,X",08 8d 2f 11 20 3a 83 bd d9 08 f0 0a bd 99 06 18 7d d9 07 9d 99 06 bd 99 06 18 7d d9 07 9d 99 06 22 d6 b3 80 bd d9 08 f0 03 de 99 09 de 99 09 10
0382F3,87:82F3,"STA $0699,X",bd d9 08 f0 0a bd 99 06 18 7d d9 07 9d 99 06 bd 99 06 18 7d d9 07 9d 99 06 22 d6 b3 80 bd d9 08 f0 03 de 99 09 de 99 09 10 28 bd 19 08 d0 11 bd
0382F6,87:82F6,"LDA $0699,X",f0 0a bd 99 06 18 7d d9 07 9d 99 06 bd 99 06 18 7d d9 07 9d 99 06 22 d6 b3 80 bd d9 08 f0 03 de 99 09 de 99 09 10 28 bd 19 08 d0 11 bd 59 08 85
0382FD,87:82FD,"STA $0699,X",d9 07 9d 99 06 bd 99 06 18 7d d9 07 9d 99 06 22 d6 b3 80 bd d9 08 f0 03 de 99 09 de 99 09 10 28 bd 19 08 d0 11 bd 59 08 85 1e bd 99 08 85 1f 20
03841C,87:841C,"STA $0799,X",ad 2a 11 9d d9 07 9d 19 08 ad 2b 11 9d 99 07 9e 59 07 a9 01 9d d9 09 8a fa 7a 6b a9 01 8d 33 11 bd d9 09 30 66 bd 19 06 85 6f bd 59 06 85 70 bd
03844E,87:844E,"DEC $0799,X",f0 04 de d9 07 6b bd 19 08 9d d9 07 de 99 07 30 48 bd 59 07 1a 29 01 9d 59 07 d0 05 20 c0 84 80 37 bd d9 06 8d 26 11 bd 19 07 8d 27 11 c2 30 a2
038453,87:8453,"LDA $0759,X",6b bd 19 08 9d d9 07 de 99 07 30 48 bd 59 07 1a 29 01 9d 59 07 d0 05 20 c0 84 80 37 bd d9 06 8d 26 11 bd 19 07 8d 27 11 c2 30 a2 00 00 46 6f 90
038459,87:8459,"STA $0759,X",07 de 99 07 30 48 bd 59 07 1a 29 01 9d 59 07 d0 05 20 c0 84 80 37 bd d9 06 8d 26 11 bd 19 07 8d 27 11 c2 30 a2 00 00 46 6f 90 11 a0 0f 00 ad 26
038519,87:8519,"STA $0699,X",a5 6c 9d 19 06 a5 6d 9d 59 06 a5 6e 9d 99 06 a5 6f 9d d9 06 a5 70 9d 19 07 a5 71 9d 59 07 9e 99 07 a0 00 c2 20 b7 6c e2 20 9d d9 07 c8 c8 c2 20
038528,87:8528,"STA $0759,X",a5 6f 9d d9 06 a5 70 9d 19 07 a5 71 9d 59 07 9e 99 07 a0 00 c2 20 b7 6c e2 20 9d d9 07 c8 c8 c2 20 b7 6c 87 6f e2 20 fe 99 07 a9 01 9d d9 09 8a
038543,87:8543,"INC $0799,X",d9 07 c8 c8 c2 20 b7 6c 87 6f e2 20 fe 99 07 a9 01 9d d9 09 8a 7a fa 6b a9 01 8d 33 11 bd d9 09 30 51 bd 19 06 85 6c bd 59 06 85 6d bd 99 06 85
038563,87:8563,"LDA $0699,X",30 51 bd 19 06 85 6c bd 59 06 85 6d bd 99 06 85 6e bd d9 06 85 6f bd 19 07 85 70 bd 59 07 85 71 bd d9 07 f0 06 de d9 07 6b c2 20 bd 99 07 0a 0a
038572,87:8572,"LDA $0759,X",85 6e bd d9 06 85 6f bd 19 07 85 70 bd 59 07 85 71 bd d9 07 f0 06 de d9 07 6b c2 20 bd 99 07 0a 0a a8 b7 6c 30 1e d0 07 e2 20 9e 99 07 80 ed 9d
038582,87:8582,"LDA $0799,X",71 bd d9 07 f0 06 de d9 07 6b c2 20 bd 99 07 0a 0a a8 b7 6c 30 1e d0 07 e2 20 9e 99 07 80 ed 9d d9 07 c8 c8 c2 20 b7 6c 87 6f e2 20 fe 99 07 22
0385A2,87:85A2,"INC $0799,X",d9 07 c8 c8 c2 20 b7 6c 87 6f e2 20 fe 99 07 22 d6 b3 80 6b 9e d9 09 22 e8 ac 80 9c 33 11 5c 35 ad 80 8b da 5a 4b ab c2 30 a2 00 00 ad 2c 11 8d
0386D3,87:86D3,"STA $0699,X",ad 2a 11 9d 19 06 9d 59 06 ad 2c 11 9d 99 06 ad 2d 11 9d d9 06 ad 28 11 9d 19 07 ad 29 11 9d 59 07 30 03 20 b8 85 a9 20 9d 99 07 8a 18 fa 6b a9
0386E5,87:86E5,"STA $0759,X",9d d9 06 ad 28 11 9d 19 07 ad 29 11 9d 59 07 30 03 20 b8 85 a9 20 9d 99 07 8a 18 fa 6b a9 01 8d 33 11 de 59 06 d0 41 bd 19 06 9d 59 06 de 99 07
0386EF,87:86EF,"STA $0799,X",29 11 9d 59 07 30 03 20 b8 85 a9 20 9d 99 07 8a 18 fa 6b a9 01 8d 33 11 de 59 06 d0 41 bd 19 06 9d 59 06 de 99 07 f0 37 bd 99 06 8d 2c 11 bd d9
038706,87:8706,"DEC $0799,X",11 de 59 06 d0 41 bd 19 06 9d 59 06 de 99 07 f0 37 bd 99 06 8d 2c 11 bd d9 06 8d 2d 11 bd 19 07 8d 28 11 bd 59 07 8d 29 11 a2 00 ad 2d 11 4a 8d
03870B,87:870B,"LDA $0699,X",41 bd 19 06 9d 59 06 de 99 07 f0 37 bd 99 06 8d 2c 11 bd d9 06 8d 2d 11 bd 19 07 8d 28 11 bd 59 07 8d 29 11 a2 00 ad 2d 11 4a 8d 2d 11 ad 2c 11
03871D,87:871D,"LDA $0759,X",bd d9 06 8d 2d 11 bd 19 07 8d 28 11 bd 59 07 8d 29 11 a2 00 ad 2d 11 4a 8d 2d 11 ad 2c 11 6a 8d 2c 11 90 03 20 4a 87 e8 e0 10 90 e8 22 d6 b3 80
03ADBB,87:ADBB,"STA $0759,X",9d d9 06 b9 ce ad 9d 19 07 b9 cf ad 9d 59 07 a9 01 9d 59 06 9d 99 06 a9 10 9d 19 06 fa 60 0f 00 00 00 0f 00 00 00 0f 00 0f 0f 0f 00 0f 0f 0f 00
03ADC3,87:ADC3,"STA $0699,X",07 b9 cf ad 9d 59 07 a9 01 9d 59 06 9d 99 06 a9 10 9d 19 06 fa 60 0f 00 00 00 0f 00 00 00 0f 00 0f 0f 0f 00 0f 0f 0f 00 07 07 00 da c2 20 a9 1b
03AEC2,87:AEC2,"STA $0699,X",99 06 d0 2f de 19 06 f0 2b bd 59 06 9d 99 06 ad 7f 03 bc d9 06 20 ef ae 8d 7f 03 ad 80 03 bc 19 07 20 ef ae 8d 80 03 ad 81 03 bc 59 07 20 ef ae
03AFCC,87:AFCC,"STA $0699,X",a5 12 9d 19 06 a5 15 9d 59 06 a5 18 9d 99 06 a5 1b 9d d9 06 68 9d 19 07 8a fa 6b ad 73 03 30 50 22 e8 ac 80 ad 73 03 30 51 bd 19 06 85 07 bd 59
03AFFD,87:AFFD,"LDA $0699,X",38 fd 99 06 85 06 64 1e a9 80 85 1f bd 99 06 85 20 64 21 22 81 c1 80 c2 20 a5 1e 85 09 e2 20 22 bb e1 81 bd 19 07 d0 03 20 88 af 22 3f b0 83 bd
03B02D,87:B02D,"STA $0699,X",d9 06 f0 0c 18 7d 99 06 10 02 a9 01 9d 99 06 6b 22 e8 ac 80 ad 73 03 10 f6 22 35 ad 80 6b 22 69 b0 83 a9 01 8d 60 43 a9 26 8d 61 43 a5 2a 8d 62
03B9AF,87:B9AF,"STA $0699,X",19 85 0d 22 1e ac 80 da aa ad 57 15 9d 99 06 fa 6b ae 67 00 a5 de 89 03 d0 49 ad 57 15 dd 99 06 f0 40 9d 99 06 ad 73 15 9d 19 06 ad 7d 15 9d 59
03B9C5,87:B9C5,"STA $0699,X",89 03 d0 49 ad 57 15 dd 99 06 f0 40 9d 99 06 ad 73 15 9d 19 06 ad 7d 15 9d 59 06 ad c7 15 22 28 89 81 ad 13 03 8d 73 15 ad 14 03 8d 7d 15 20 0b
03BA68,87:BA68,"STA $0759,X",00 80 06 a9 03 80 02 a9 01 20 aa ba 9d 59 07 22 c2 88 81 bd 59 07 3a 29 03 0a aa bf 8e ba 83 f0 05 cd bb 13 f0 08 e8 8a 29 01 d0 ef 80 03 20 b5
03BA6F,87:BA6F,"LDA $0759,X",a9 01 20 aa ba 9d 59 07 22 c2 88 81 bd 59 07 3a 29 03 0a aa bf 8e ba 83 f0 05 cd bb 13 f0 08 e8 8a 29 01 d0 ef 80 03 20 b5 ba 60 42 00 3e 46 44
03BCE4,87:BCE4,"STA $0699,X",9d 19 06 ad 65 03 9d 59 06 ad 68 03 9d 99 06 ad 69 03 9d d9 06 ad 57 15 9d 19 07 6b ae 67 00 a5 de 89 03 d0 3a bd 19 06 d0 0b ad 57 15 dd 19 07
03BD1F,87:BD1F,"LDA $0699,X",15 48 9c 14 15 bd 59 06 22 fd c6 80 bd 99 06 22 25 d9 80 bd d9 06 22 5b d9 80 68 8d 14 15 68 22 fd c6 80 6b 22 35 ad 80 6b c2 20 a9 52 bd 85 0f
03BD64,87:BD64,"LDA $0699,X",9d d9 06 a5 de 89 03 f0 03 4c db bd bd 99 06 f0 05 de 99 06 80 63 ad 0f 15 29 0f 0d 68 12 0d ab 12 0d e2 12 d0 53 a2 00 bd 69 15 f0 47 c9 17 b0
03BE0E,87:BE0E,"STA $0699,X",22 1e ac 80 6b a5 de f0 01 6b a9 f0 9d 99 06 22 e8 ac 80 a5 5b 05 59 d0 f1 ad 0f 15 29 0f 05 de 0d e2 12 0d ab 12 0d 68 12 d0 2d de 99 06 d0 28
03E549,87:E549,"STA $0799,X",b0 f1 6b bc 19 06 9e d9 07 b9 2f e7 9d 99 07 10 03 de d9 07 b9 30 e7 9d 99 06 9d 59 06 b9 31 e7 9d d9 06 60 bd 59 06 dd 99 06 d0 13 18 bd 19 07
03E554,87:E554,"STA $0699,X",e7 9d 99 07 10 03 de d9 07 b9 30 e7 9d 99 06 9d 59 06 b9 31 e7 9d d9 06 60 bd 59 06 dd 99 06 d0 13 18 bd 19 07 7d 99 07 9d 19 07 bd 59 07 7d d9
03E573,87:E573,"LDA $0759,X",d0 13 18 bd 19 07 7d 99 07 9d 19 07 bd 59 07 7d d9 07 9d 59 07 de 59 06 d0 17 bd 99 06 9d 59 06 de d9 06 d0 0c bd 19 06 18 69 03 9d 19 06 38 80
03E579,87:E579,"STA $0759,X",7d 99 07 9d 19 07 bd 59 07 7d d9 07 9d 59 07 de 59 06 d0 17 bd 99 06 9d 59 06 de d9 06 d0 0c bd 19 06 18 69 03 9d 19 06 38 80 01 18 60 5a a9 02
03E581,87:E581,"LDA $0699,X",07 7d d9 07 9d 59 07 de 59 06 d0 17 bd 99 06 9d 59 06 de d9 06 d0 0c bd 19 06 18 69 03 9d 19 06 38 80 01 18 60 5a a9 02 22 65 a0 80 9c 9d 03 9c
03E5C5,87:E5C5,"LDA $0759,X",ad a1 03 8d 15 03 e2 20 7a 60 5a da bd 59 07 eb bd 19 07 c2 20 0a 08 6a 28 6a 85 22 18 6d 15 03 29 ff 03 09 00 e0 85 1e ac 9b 13 c0 01 d0 05 8d
03E788,87:E788,"STA $0699,X",9d 19 06 ad 80 03 9d 59 06 ad 81 03 9d 99 06 ad 7e 03 9d d9 06 ad 7d 03 9d 19 07 ad 86 03 9d 59 07 ad 7b 03 9d 99 07 ad 77 03 9d d9 07 60 bd 19
03E79A,87:E79A,"STA $0759,X",9d d9 06 ad 7d 03 9d 19 07 ad 86 03 9d 59 07 ad 7b 03 9d 99 07 ad 77 03 9d d9 07 60 bd 19 06 8d 7f 03 bd 59 06 8d 80 03 bd 99 06 8d 81 03 bd d9
03E7A0,87:E7A0,"STA $0799,X",9d 19 07 ad 86 03 9d 59 07 ad 7b 03 9d 99 07 ad 77 03 9d d9 07 60 bd 19 06 8d 7f 03 bd 59 06 8d 80 03 bd 99 06 8d 81 03 bd d9 06 8d 7e 03 bd 19
03E7B6,87:E7B6,"LDA $0699,X",bd 19 06 8d 7f 03 bd 59 06 8d 80 03 bd 99 06 8d 81 03 bd d9 06 8d 7e 03 bd 19 07 8d 7d 03 bd 59 07 8d 86 03 bd 99 07 8d 7b 03 bd d9 07 29 08 0d
03E7C8,87:E7C8,"LDA $0759,X",bd d9 06 8d 7e 03 bd 19 07 8d 7d 03 bd 59 07 8d 86 03 bd 99 07 8d 7b 03 bd d9 07 29 08 0d 77 03 8d 77 03 22 74 a4 80 60 a9 10 8d 7f 03 a9 04 8d
03E7CE,87:E7CE,"LDA $0799,X",bd 19 07 8d 7d 03 bd 59 07 8d 86 03 bd 99 07 8d 7b 03 bd d9 07 29 08 0d 77 03 8d 77 03 22 74 a4 80 60 a9 10 8d 7f 03 a9 04 8d 80 03 a9 04 8d 81
04801C,89:801C,"STA $0759,X",e8 e0 20 90 f8 6b da a6 9b ad 6e 12 9d 59 07 fa 60 8b 4b ab a5 98 a6 99 20 24 84 a5 9a 20 1e 84 c2 20 a5 06 85 98 e2 20 a5 08 85 9a c2 20 a9 70
048062,89:8062,"STA $0699,X",06 ad 66 12 9d 59 06 ee 66 12 a5 96 9d 99 06 a5 97 9d d9 06 22 76 80 84 ab 60 bd 59 07 8d 6e 12 86 9b a6 9b bd 19 06 8d 69 12 bd 59 06 8d 67 12
048070,89:8070,"LDA $0759,X",06 a5 97 9d d9 06 22 76 80 84 ab 60 bd 59 07 8d 6e 12 86 9b a6 9b bd 19 06 8d 69 12 bd 59 06 8d 67 12 ad 6e 12 9d 59 07 ad ab 12 0d e3 12 d0 73
048089,89:8089,"STA $0759,X",8d 69 12 bd 59 06 8d 67 12 ad 6e 12 9d 59 07 ad ab 12 0d e3 12 d0 73 ad 68 12 cd 69 12 d0 6b a0 01 a7 98 c9 e0 90 03 4c 2d 81 c9 d0 90 03 4c 08
0480D7,89:80D7,"LDA $0699,X",cd 67 12 f0 05 20 d9 84 80 a3 a6 9b bd 99 06 c5 96 d0 07 bd d9 06 c5 97 f0 07 20 42 84 85 a2 86 a3 a5 9b 22 39 ad 80 20 42 84 85 9a 20 42 84 86
049067,89:9067,"LDA $0759,X",22 e8 b3 81 90 14 aa bd d9 05 85 6b bd 59 07 29 4f 9d 59 07 a5 0f 22 f8 91 83 a9 03 4c 10 84 b7 98 8d 0b 03 c8 b7 98 8d 0d 03 c8 22 56 b9 81 4c
04906C,89:906C,"STA $0759,X",14 aa bd d9 05 85 6b bd 59 07 29 4f 9d 59 07 a5 0f 22 f8 91 83 a9 03 4c 10 84 b7 98 8d 0b 03 c8 b7 98 8d 0d 03 c8 22 56 b9 81 4c 0f 84 ad 73 15
0490FD,89:90FD,"STA $0699,X",4c 5e 89 bd 59 06 a8 b9 57 91 30 44 9d 99 06 fe 59 06 a9 01 22 fe ac 80 bd 19 06 a8 b9 d9 05 a8 a9 00 99 e7 0a a9 ff 99 67 0e de 99 06 d0 36 bd
04918E,89:918E,"LDA $0759,X",22 e8 b3 81 90 1d cd 7f 18 d0 18 aa bd 59 07 29 80 d0 10 ad c7 15 29 07 3a 49 02 1a 22 e6 af 81 18 80 01 38 20 49 89 20 59 89 ab 60 ad c7 15 22
0493C1,89:93C1,"LDA $0759,X",f0 14 c9 ff d0 02 a9 00 22 88 ae 80 bd 59 07 09 08 9d 59 07 80 0a bd 59 07 29 f7 09 10 9d 59 07 4c 5e 89 b7 98 48 22 e8 b3 81 aa 68 22 e3 ae 81
0493C6,89:93C6,"STA $0759,X",02 a9 00 22 88 ae 80 bd 59 07 09 08 9d 59 07 80 0a bd 59 07 29 f7 09 10 9d 59 07 4c 5e 89 b7 98 48 22 e8 b3 81 aa 68 22 e3 ae 81 4c 5e 89 c2 20
0493CB,89:93CB,"LDA $0759,X",ae 80 bd 59 07 09 08 9d 59 07 80 0a bd 59 07 29 f7 09 10 9d 59 07 4c 5e 89 b7 98 48 22 e8 b3 81 aa 68 22 e3 ae 81 4c 5e 89 c2 20 a9 ff 93 85 0f
0493D2,89:93D2,"STA $0759,X",9d 59 07 80 0a bd 59 07 29 f7 09 10 9d 59 07 4c 5e 89 b7 98 48 22 e8 b3 81 aa 68 22 e3 ae 81 4c 5e 89 c2 20 a9 ff 93 85 0f e2 20 a9 32 85 0d 22
0494B7,89:94B7,"LDA $0759,X",c8 4c 0f 84 20 3a 8a 22 e8 b3 81 aa bd 59 07 09 20 9d 59 07 60 22 d9 bc 81 20 1e 84 4c 59 89 22 92 ac 81 20 51 89 4c 59 89 22 53 f3 81 4c 59 89
0494BC,89:94BC,"STA $0759,X",3a 8a 22 e8 b3 81 aa bd 59 07 09 20 9d 59 07 60 22 d9 bc 81 20 1e 84 4c 59 89 22 92 ac 81 20 51 89 4c 59 89 22 53 f3 81 4c 59 89 c2 20 b7 98 e2
049601,89:9601,"STA $0699,X",a9 ff 9d 59 06 a9 0f 8d 73 03 a9 0f 9d 99 06 4c 5e 89 bd 19 06 29 7f d0 06 22 e8 ac 80 80 04 22 e3 ac 80 ad 73 03 18 7d 59 06 8d 73 03 de 99 06
049874,89:9874,"STA $0699,X",aa 68 9d 19 06 a5 57 9d 59 06 a5 59 9d 99 06 60 bd 19 06 c9 ff d0 10 a5 57 dd 59 06 d0 0e a5 59 dd 99 06 d0 07 80 0f de 19 06 d0 0a 22 35 ad 80
049909,89:9909,"STA $0699,X",ac 80 aa 68 9d 19 06 68 9d 59 06 68 9d 99 06 60 20 1e 84 4c 0f 84 ad 68 12 dd 99 06 d0 13 bd 59 06 20 1e 84 ae 67 00 bd 19 06 20 10 84 22 35 ad
04995C,89:995C,"LDA $0699,X",81 90 15 aa bd 59 06 d7 98 d0 0d c8 bd 99 06 d7 98 d0 05 20 87 83 80 03 20 8c 83 a9 03 4c 10 84 22 eb 8a 81 4c 59 89 b7 98 8d 7a 03 c8 b7 98 8d
0499D7,89:99D7,"STA $0759,X",9d d9 06 c8 b7 98 9d 19 07 c8 b7 98 9d 59 07 c8 b7 98 9d 59 06 9d 99 06 a9 20 9d 19 06 c8 4c 0f 84 c2 20 b7 98 85 06 e2 20 c8 c8 20 0f 84 c2 20
0499E0,89:99E0,"STA $0699,X",c8 b7 98 9d 59 07 c8 b7 98 9d 59 06 9d 99 06 a9 20 9d 19 06 c8 4c 0f 84 c2 20 b7 98 85 06 e2 20 c8 c8 20 0f 84 c2 20 b2 06 8d 25 19 e2 20 ee 68
04B2DF,89:B2DF,"INC $0759,X",e9 b2 9e 59 07 20 5c b7 60 ae 67 00 fe 59 07 bd 59 07 29 10 d0 04 a9 5f 80 02 a9 50 85 06 8b a9 7e 48 ab 64 07 ae 67 00 ac 7f 13 b9 e8 12 a8 b9
04B2E2,89:B2E2,"LDA $0759,X",59 07 20 5c b7 60 ae 67 00 fe 59 07 bd 59 07 29 10 d0 04 a9 5f 80 02 a9 50 85 06 8b a9 7e 48 ab 64 07 ae 67 00 ac 7f 13 b9 e8 12 a8 b9 68 3d 8d
04BA76,89:BA76,"LDA $0799,X",8d a9 12 fa 7a 60 da ae 96 13 f0 19 bd 99 07 10 14 bd 99 07 29 7f 1a 9d 99 07 ad 95 13 d0 06 de 99 07 38 80 01 18 fa 60 20 a9 ba b0 11 ad 0d 03
04BA7B,89:BA7B,"LDA $0799,X",60 da ae 96 13 f0 19 bd 99 07 10 14 bd 99 07 29 7f 1a 9d 99 07 ad 95 13 d0 06 de 99 07 38 80 01 18 fa 60 20 a9 ba b0 11 ad 0d 03 cd e6 12 90 08
04BA81,89:BA81,"STA $0799,X",19 bd 99 07 10 14 bd 99 07 29 7f 1a 9d 99 07 ad 95 13 d0 06 de 99 07 38 80 01 18 fa 60 20 a9 ba b0 11 ad 0d 03 cd e6 12 90 08 cd e7 12 b0 03 18
04BA89,89:BA89,"DEC $0799,X",07 29 7f 1a 9d 99 07 ad 95 13 d0 06 de 99 07 38 80 01 18 fa 60 20 a9 ba b0 11 ad 0d 03 cd e6 12 90 08 cd e7 12 b0 03 18 80 01 38 60 5a da ae 96
04BAC8,89:BAC8,"LDA $0799,X",13 38 ed e0 12 90 0d cd 8e 13 90 0b bd 99 07 09 80 9d 99 07 38 80 01 18 fa 7a 60 ad e0 12 8d 0d 03 ad df 12 8d 0b 03 60 ae 96 13 f0 25 ad 0b 03
04BACD,89:BACD,"STA $0799,X",90 0d cd 8e 13 90 0b bd 99 07 09 80 9d 99 07 38 80 01 18 fa 7a 60 ad e0 12 8d 0d 03 ad df 12 8d 0b 03 60 ae 96 13 f0 25 ad 0b 03 9d 19 09 ad 0d
04C1DF,89:C1DF,"LDA $0799,X",c1 bd 59 09 8d 0d 03 a9 00 20 05 c2 bd 99 07 f0 13 20 f8 c1 bd 59 09 18 7d d9 09 1a 8d 0d 03 a9 80 20 05 c2 60 ad 8f 13 4a 1a 4a 6d df 12 8d 0b
04C497,89:C497,"LDA $0699,X",19 06 d0 03 fe 99 06 bd 19 06 c9 08 bd 99 06 e9 07 90 14 ad 0f 15 29 0f d0 0d 9c 6c 12 a9 7b 22 23 87 84 22 35 ad 80 6b ad c7 15 22 28 89 81 ad
04C5B3,89:C5B3,"LDA $0699,X",19 06 d0 03 fe 99 06 bd 19 06 c9 70 bd 99 06 e9 17 90 0a a9 70 9d 19 06 a9 17 9d 99 06 64 5b 6b 9c 68 03 bd 19 06 c9 70 bd 99 06 e9 17 b0 03 ee
04C5C1,89:C5C1,"STA $0699,X",06 e9 17 90 0a a9 70 9d 19 06 a9 17 9d 99 06 64 5b 6b 9c 68 03 bd 19 06 c9 70 bd 99 06 e9 17 b0 03 ee 68 03 22 35 ad 80 6b 0b 0c 0d 0e 60 9c 57
04C5CF,89:C5CF,"LDA $0699,X",06 64 5b 6b 9c 68 03 bd 19 06 c9 70 bd 99 06 e9 17 b0 03 ee 68 03 22 35 ad 80 6b 0b 0c 0d 0e 60 9c 57 19 a9 32 38 ef 97 63 7e 90 03 8d 57 19 a9
04DA1F,89:DA1F,"STA $0699,X",a4 80 9e 19 06 a9 90 9d 59 06 a9 00 9d 99 06 a9 01 22 e3 ac 80 bd 59 06 8f 54 19 00 a9 df 8f 55 19 00 bd 59 06 85 06 a9 cf 85 09 bd 99 06 85 0d
04DA3E,89:DA3E,"LDA $0699,X",55 19 00 bd 59 06 85 06 a9 cf 85 09 bd 99 06 85 0d 64 0f a9 01 85 10 20 ac cd 22 74 a4 80 22 36 d0 84 38 bd 59 06 e9 04 9d 59 06 18 bd 99 06 69
04DA5E,89:DA5E,"LDA $0699,X",d0 84 38 bd 59 06 e9 04 9d 59 06 18 bd 99 06 69 02 9d 99 06 fe 19 06 bd 19 06 c9 20 90 b2 c2 20 a9 00 01 8d 8d 03 8d 93 03 a9 00 00 8d 8f 03 8d
04DA63,89:DA63,"STA $0699,X",06 e9 04 9d 59 06 18 bd 99 06 69 02 9d 99 06 fe 19 06 bd 19 06 c9 20 90 b2 c2 20 a9 00 01 8d 8d 03 8d 93 03 a9 00 00 8d 8f 03 8d 91 03 e2 20 9c
04DAB1,89:DAB1,"STA $0699,X",a5 12 9d 19 06 a5 15 9d 59 06 a5 18 9d 99 06 a5 19 9d d9 06 a5 1b 9d 19 07 a5 1c 9d 59 07 a5 13 9d 99 07 a5 16 9d d9 07 8a fa 6b ad 73 03 10 03
04DAC0,89:DAC0,"STA $0759,X",a5 19 9d d9 06 a5 1b 9d 19 07 a5 1c 9d 59 07 a5 13 9d 99 07 a5 16 9d d9 07 8a fa 6b ad 73 03 10 03 4c 43 db 22 e8 ac 80 ad 73 03 30 63 20 49 db
04DAC5,89:DAC5,"STA $0799,X",a5 1b 9d 19 07 a5 1c 9d 59 07 a5 13 9d 99 07 a5 16 9d d9 07 8a fa 6b ad 73 03 10 03 4c 43 db 22 e8 ac 80 ad 73 03 30 63 20 49 db a0 00 bd 19 06
04DB31,89:DB31,"LDA $0699,X",db bd 19 06 18 7d 59 06 9d 19 06 18 bd 99 06 7d 19 07 9d 99 06 bd d9 06 7d 59 07 9d d9 06 6b 22 35 ad 80 6b 64 1f bd 99 07 85 1e 10 02 c6 1f 64
04DB37,89:DB37,"STA $0699,X",59 06 9d 19 06 18 bd 99 06 7d 19 07 9d 99 06 bd d9 06 7d 59 07 9d d9 06 6b 22 35 ad 80 6b 64 1f bd 99 07 85 1e 10 02 c6 1f 64 21 bd d9 07 85 20
04DB4B,89:DB4B,"LDA $0799,X",07 9d d9 06 6b 22 35 ad 80 6b 64 1f bd 99 07 85 1e 10 02 c6 1f 64 21 bd d9 07 85 20 10 02 c6 21 c2 20 ad 99 03 18 65 1e 8d 99 03 ad 9f 03 18 65
04DB89,89:DB89,"LDA $0699,X",ad 9f 03 18 69 80 00 8d 97 03 e2 20 bd 99 06 85 20 bd d9 06 85 21 60 c2 20 a5 1e 29 00 c0 85 00 a5 1e 4a 4a 05 00 4a 4a 05 00 85 1e e2 20 22 36
04DBE4,89:DBE4,"STA $0699,X",a5 15 9d 59 08 a5 16 9d 99 08 a5 14 9d 99 06 a5 17 9d d9 06 a5 18 9d 19 08 9e d9 07 a5 19 9d 99 07 10 03 de d9 07 a5 1b 9d 19 07 a5 1c 9d 59 07
04DBF6,89:DBF6,"STA $0799,X",d9 06 a5 18 9d 19 08 9e d9 07 a5 19 9d 99 07 10 03 de d9 07 a5 1b 9d 19 07 a5 1c 9d 59 07 fa 6b 20 9a cf bd 99 06 85 06 20 f0 ce bd 59 08 85 06
04DC05,89:DC05,"STA $0759,X",10 03 de d9 07 a5 1b 9d 19 07 a5 1c 9d 59 07 fa 6b 20 9a cf bd 99 06 85 06 20 f0 ce bd 59 08 85 06 a9 e0 38 e5 06 85 09 bd 19 06 85 0d bd 19 07
04DC0D,89:DC0D,"LDA $0699,X",19 07 a5 1c 9d 59 07 fa 6b 20 9a cf bd 99 06 85 06 20 f0 ce bd 59 08 85 06 a9 e0 38 e5 06 85 09 bd 19 06 85 0d bd 19 07 85 0f bd 59 07 85 10 20
