pc,snes_lorom,asm,context_hex
01B050,83:B050,"LDA $0759,X",ad 43 15 d0 16 a0 00 be 5e 18 30 07 bd 59 07 89 40 d0 08 c8 c0 20 90 ef 18 80 01 38 fa 7a 6b 5a da ad 56 18 22 45 b4 81 85 00 ad 3c 11 d0 04 a9
01B084,83:B084,"LDA $0699,X",10 05 00 99 27 0b bd 59 06 8d 0b 03 bd 99 06 8d 0d 03 22 0f b1 81 ad 56 18 22 50 b4 81 18 7d d9 06 3a 22 88 ae 80 fa 7a 60 ae 7e 18 a4 6a bd 59
01B0A6,83:B0A6,"LDA $0759,X",22 88 ae 80 fa 7a 60 ae 7e 18 a4 6a bd 59 07 89 08 d0 50 89 b0 f0 4f bd 59 08 22 50 b4 81 18 7d d9 06 3a 22 79 ae 80 bd 59 07 29 ef 9d 59 07 bd
01B0C1,83:B0C1,"LDA $0759,X",50 b4 81 18 7d d9 06 3a 22 79 ae 80 bd 59 07 29 ef 9d 59 07 bd 59 07 89 80 d0 1c 89 20 f0 2c ad ab 12 f0 0e ad c3 12 f0 22 22 e8 b3 81 cd 7e 18
01B0C6,83:B0C6,"STA $0759,X",d9 06 3a 22 79 ae 80 bd 59 07 29 ef 9d 59 07 bd 59 07 89 80 d0 1c 89 20 f0 2c ad ab 12 f0 0e ad c3 12 f0 22 22 e8 b3 81 cd 7e 18 f0 05 20 06 b1
01B0C9,83:B0C9,"LDA $0759,X",22 79 ae 80 bd 59 07 29 ef 9d 59 07 bd 59 07 89 80 d0 1c 89 20 f0 2c ad ab 12 f0 0e ad c3 12 f0 22 22 e8 b3 81 cd 7e 18 f0 05 20 06 b1 80 14 bd
01B106,83:B106,"LDA $0759,X",80 80 03 20 01 b1 60 ad ab 12 d0 08 bd 59 07 29 df 9d 59 07 60 ad 0b 03 38 ed 73 15 18 69 07 c2 20 29 ff 00 0a 0a 0a 0a 85 1e e2 20 99 a7 0b a5
01B10B,83:B10B,"STA $0759,X",b1 60 ad ab 12 d0 08 bd 59 07 29 df 9d 59 07 60 ad 0b 03 38 ed 73 15 18 69 07 c2 20 29 ff 00 0a 0a 0a 0a 85 1e e2 20 99 a7 0b a5 1f 99 e7 0b ad
01B16D,83:B16D,"LDA $0699,X",bd 59 06 cd 13 03 f0 04 b0 18 90 16 bd 99 06 cd 14 03 f0 04 b0 0c 90 0a bd 19 07 89 20 f0 0b ee 80 18 c8 c0 20 90 ce 18 80 04 8e 7f 18 38 fa 7a
01B1A0,83:B1A0,"LDA $0759,X",18 da ad 7e 18 48 ae 7f 18 8e 7e 18 bd 59 07 89 80 d0 41 bd 19 07 89 08 f0 0f ad 81 18 22 e6 af 81 20 ff b1 b0 2e 20 b6 af ae 7e 18 bd 99 07 85
01B1C0,83:B1C0,"LDA $0799,X",81 20 ff b1 b0 2e 20 b6 af ae 7e 18 bd 99 07 85 a4 bd d9 07 85 a5 bd 19 08 85 a6 a9 86 22 7d 86 84 ad 68 12 d0 0e 22 68 bb 80 89 30 d0 06 29 03
01B25F,83:B25F,"LDA $0699,X",81 60 5a da ae 7e 18 bd d9 06 0a a8 bd 99 06 18 79 82 b2 8d 14 03 8d 0d 03 bd d9 06 0a a8 bd 59 06 18 79 81 b2 8d 13 03 8d 0b 03 fa 7a 60 00 00
01B28B,83:B28B,"LDA $0759,X",7a 60 00 00 01 00 00 01 ff 00 00 ff bd 59 07 09 40 9d 59 07 a5 0f 9d 19 09 a5 10 9d 59 09 a5 11 9d 99 09 9e d9 09 6b ae 7e 18 bd 59 07 89 40 f0
01B290,83:B290,"STA $0759,X",00 00 01 ff 00 00 ff bd 59 07 09 40 9d 59 07 a5 0f 9d 19 09 a5 10 9d 59 09 a5 11 9d 99 09 9e d9 09 6b ae 7e 18 bd 59 07 89 40 f0 20 29 a0 05 de
01B2A9,83:B2A9,"LDA $0759,X",a5 11 9d 99 09 9e d9 09 6b ae 7e 18 bd 59 07 89 40 f0 20 29 a0 05 de d0 1a bd d9 09 f0 09 3a 9d d9 09 d0 03 20 c5 b3 20 d1 b2 a7 0f 0a aa a0 01
01B301,83:B301,"LDA $0759,X",b3 8c b3 44 b3 ab b3 b1 b3 ae 7e 18 bd 59 07 29 bc 9d 59 07 bd 19 07 29 03 1d 59 07 9d 59 07 60 ae 7e 18 a7 0f 48 29 07 22 e6 af 81 68 30 06 20
01B306,83:B306,"STA $0759,X",ab b3 b1 b3 ae 7e 18 bd 59 07 29 bc 9d 59 07 bd 19 07 29 03 1d 59 07 9d 59 07 60 ae 7e 18 a7 0f 48 29 07 22 e6 af 81 68 30 06 20 b6 af 20 d1 b2
01B311,83:B311,"STA $0759,X",bc 9d 59 07 bd 19 07 29 03 1d 59 07 9d 59 07 60 ae 7e 18 a7 0f 48 29 07 22 e6 af 81 68 30 06 20 b6 af 20 d1 b2 bd d9 09 d0 05 b7 0f 9d d9 09 60
01B376,83:B376,"LDA $0759,X",03 20 c1 b3 60 b7 0f 85 00 ae 7e 18 bd 59 07 29 fc 05 00 9d 59 07 20 c5 b3 60 ae 7e 18 22 98 ad 81 60 ae 7e 18 c2 20 b7 0f 85 2a e2 20 c8 c8 b7
01B37D,83:B37D,"STA $0759,X",85 00 ae 7e 18 bd 59 07 29 fc 05 00 9d 59 07 20 c5 b3 60 ae 7e 18 22 98 ad 81 60 ae 7e 18 c2 20 b7 0f 85 2a e2 20 c8 c8 b7 0f 85 2c bc d9 05 22
01B3F1,83:B3F1,"LDA $0799,X",59 09 60 5a da a0 00 be 5e 18 30 15 bd 99 07 c5 a4 d0 0e bd d9 07 c5 a5 d0 07 bd 19 08 c5 a6 f0 08 c8 c0 20 90 e1 18 80 02 8a 38 fa 7a 6b 5a 8d
01BC38,83:BC38,"LDA $0699,X",8b 5a da a9 7e 48 ab ae 7e 18 a0 00 bd 99 06 20 65 bc bd 59 06 20 85 bc ad 73 15 cd 0b 03 90 04 a9 81 80 02 a9 83 99 5d 40 c8 a9 01 99 5d 40 c8
01BCEA,83:BCEA,"LDA $0699,X",00 be 5e 18 bd 59 06 cd 73 15 d0 0a bd 99 06 cd 7d 15 d0 02 e6 1e c8 c0 20 90 e6 a5 1e fa 7a 6b a9 01 8d 47 15 6b 22 0f bd 81 a9 00 22 88 ae 80
01BD0F,83:BD0F,"LDA $0759,X",6b 22 0f bd 81 a9 00 22 88 ae 80 6b bd 59 07 09 08 9d 59 07 6b bd 59 07 29 f7 9d 59 07 6b bd 59 07 29 f7 9d 59 07 a9 08 22 88 ae 80 6b a5 6a 48
01BD14,83:BD14,"STA $0759,X",a9 00 22 88 ae 80 6b bd 59 07 09 08 9d 59 07 6b bd 59 07 29 f7 9d 59 07 6b bd 59 07 29 f7 9d 59 07 a9 08 22 88 ae 80 6b a5 6a 48 a9 2c 84 6a 22
