offset,snes,bpp,chunk_size,visual_score,font_score,face_score,map_score,nonblank_ratio,avg_nonzero,avg_entropy,avg_unique,duplicate_ratio
0x07F000,8F:F000,4,0x1000,9.38,0.00,72.77,7.04,1.000,0.880,3.716,15.320,0.000
0x080000,90:8000,2,0x1000,67.58,6.35,100.00,49.19,1.000,0.651,1.918,4.000,0.012
0x080000,90:8000,4,0x1000,14.06,0.00,84.45,10.56,1.000,0.869,3.709,15.414,0.000
0x081000,90:9000,2,0x1000,68.75,3.42,100.00,51.22,1.000,0.673,1.917,4.000,0.027
0x081000,90:9000,4,0x1000,31.25,0.00,86.25,23.46,1.000,0.871,3.593,14.789,0.000
0x082000,90:A000,2,0x1000,40.23,0.00,100.00,28.77,1.000,0.709,1.951,4.000,0.000
0x082000,90:A000,4,0x1000,0.78,0.00,44.02,0.59,1.000,0.909,3.778,15.594,0.000
0x083000,90:B000,2,0x1000,38.67,0.00,100.00,27.65,1.000,0.714,1.952,4.000,0.000
0x083000,90:B000,4,0x1000,0.78,0.00,32.34,0.59,1.000,0.915,3.790,15.656,0.000
0x084000,90:C000,2,0x1000,37.89,0.00,100.00,27.09,1.000,0.711,1.952,4.000,0.000
0x084000,90:C000,4,0x1000,1.56,0.00,39.53,1.17,1.000,0.909,3.780,15.641,0.000
0x085000,90:D000,2,0x1000,28.52,0.00,100.00,20.39,1.000,0.789,1.960,4.000,0.000
0x085000,90:D000,4,0x1000,0.78,0.00,5.39,0.59,1.000,0.954,3.801,15.664,0.000
0x086000,90:E000,2,0x1000,31.25,0.49,100.00,22.34,1.000,0.779,1.957,4.000,0.000
0x086000,90:E000,4,0x1000,1.56,0.00,7.19,1.17,1.000,0.952,3.801,15.742,0.000
0x087000,90:F000,2,0x1000,33.20,0.00,99.61,23.74,1.000,0.757,1.955,4.000,0.000
0x087000,90:F000,4,0x1000,1.56,0.00,14.37,1.17,1.000,0.938,3.803,15.703,0.000
0x088000,91:8000,2,0x1000,29.30,0.00,100.00,20.95,1.000,0.750,1.960,4.000,0.000
0x088000,91:8000,4,0x1000,0.78,0.00,18.87,0.59,1.000,0.932,3.803,15.719,0.000
0x089000,91:9000,2,0x1000,26.17,0.00,99.61,18.71,1.000,0.770,1.961,4.000,0.000
0x089000,91:9000,4,0x1000,0.00,0.00,8.98,0.00,1.000,0.947,3.811,15.742,0.000
0x08A000,91:A000,2,0x1000,33.20,0.00,100.00,23.74,1.000,0.772,1.957,4.000,0.000
0x08A000,91:A000,4,0x1000,0.00,0.00,10.78,0.00,1.000,0.948,3.795,15.625,0.000
0x08B000,91:B000,2,0x1000,33.98,0.98,100.00,24.30,1.000,0.734,1.953,4.000,0.000
0x08B000,91:B000,4,0x1000,2.34,0.00,23.36,1.76,1.000,0.925,3.789,15.625,0.000
0x08C000,91:C000,2,0x1000,39.06,0.00,100.00,27.93,1.000,0.713,1.950,4.000,0.000
0x08C000,91:C000,4,0x1000,3.12,0.00,35.04,2.35,1.000,0.908,3.778,15.609,0.000
0x08D000,91:D000,2,0x1000,32.81,0.00,99.61,23.46,1.000,0.761,1.958,4.000,0.000
0x08D000,91:D000,4,0x1000,1.56,0.00,16.17,1.17,1.000,0.938,3.801,15.633,0.000
0x08E000,91:E000,2,0x1000,30.86,0.00,100.00,22.06,1.000,0.776,1.957,4.000,0.000
0x08E000,91:E000,4,0x1000,0.78,0.00,7.19,0.59,1.000,0.948,3.803,15.664,0.000
0x08F000,91:F000,2,0x1000,35.16,0.98,100.00,25.14,1.000,0.739,1.950,4.000,0.000
0x08F000,91:F000,4,0x1000,2.34,0.00,20.66,1.76,1.000,0.929,3.781,15.586,0.000
0x090000,92:8000,2,0x1000,34.38,0.00,100.00,24.58,1.000,0.793,1.957,4.000,0.000
0x090000,92:8000,4,0x1000,0.00,0.00,4.49,0.00,1.000,0.960,3.799,15.703,0.000
0x091000,92:9000,2,0x1000,25.00,0.00,99.61,17.88,1.000,0.787,1.962,4.000,0.000
0x091000,92:9000,4,0x1000,0.00,0.00,3.59,0.00,1.000,0.953,3.808,15.680,0.000
0x092000,92:A000,2,0x1000,28.12,0.00,99.61,20.11,1.000,0.788,1.960,4.000,0.000
0x092000,92:A000,4,0x1000,0.00,0.00,3.59,0.00,1.000,0.961,3.808,15.641,0.000
0x093000,92:B000,2,0x1000,31.64,0.49,100.00,22.62,1.000,0.750,1.960,4.000,0.000
0x093000,92:B000,4,0x1000,1.56,0.00,25.16,1.17,1.000,0.931,3.795,15.625,0.000
0x094000,92:C000,2,0x1000,34.38,0.49,100.00,24.58,1.000,0.734,1.955,4.000,0.000
0x094000,92:C000,4,0x1000,2.34,0.00,22.46,1.76,1.000,0.927,3.796,15.688,0.000
0x095000,92:D000,2,0x1000,25.00,0.00,100.00,17.88,1.000,0.779,1.963,4.000,0.000
0x095000,92:D000,4,0x1000,0.00,0.00,2.70,0.00,1.000,0.953,3.817,15.820,0.000
0x096000,92:E000,2,0x1000,45.31,1.95,100.00,32.59,1.000,0.701,1.943,4.000,0.004
0x096000,92:E000,4,0x1000,5.47,0.00,51.21,4.11,1.000,0.897,3.761,15.578,0.000
0x097000,92:F000,2,0x1000,32.42,0.00,99.61,23.18,1.000,0.765,1.957,4.000,0.000
0x097000,92:F000,4,0x1000,0.00,0.00,15.27,0.00,1.000,0.941,3.812,15.672,0.000
0x098000,93:8000,2,0x1000,32.81,0.49,100.00,23.46,1.000,0.727,1.952,4.000,0.000
0x098000,93:8000,4,0x1000,0.00,0.00,26.05,0.00,1.000,0.923,3.791,15.688,0.000
0x099000,93:9000,2,0x1000,39.84,0.98,99.61,28.49,1.000,0.760,1.951,4.000,0.000
0x099000,93:9000,4,0x1000,0.78,0.00,13.48,0.59,1.000,0.943,3.790,15.641,0.000
0x09A000,93:A000,2,0x1000,28.91,0.00,100.00,20.67,1.000,0.760,1.957,4.000,0.000
0x09A000,93:A000,4,0x1000,0.00,0.00,16.17,0.00,1.000,0.938,3.804,15.680,0.000
0x09B000,93:B000,2,0x1000,33.98,0.00,100.00,24.30,1.000,0.741,1.955,4.000,0.000
0x09B000,93:B000,4,0x1000,0.78,0.00,21.56,0.59,1.000,0.930,3.798,15.672,0.000
0x09C000,93:C000,2,0x1000,34.38,0.49,100.00,24.58,1.000,0.775,1.956,4.000,0.000
0x09C000,93:C000,4,0x1000,2.34,0.00,10.78,1.76,1.000,0.943,3.799,15.664,0.000
0x09D000,93:D000,2,0x1000,27.34,0.00,100.00,19.55,1.000,0.778,1.962,4.000,0.000
0x09D000,93:D000,4,0x1000,0.00,0.00,5.39,0.00,1.000,0.951,3.807,15.672,0.000
0x09E000,93:E000,2,0x1000,34.77,0.00,100.00,24.86,1.000,0.739,1.954,4.000,0.000
0x09E000,93:E000,4,0x1000,1.56,0.00,25.16,1.17,1.000,0.926,3.786,15.633,0.000
0x09F000,93:F000,2,0x1000,42.19,1.46,100.00,30.16,1.000,0.707,1.946,4.000,0.000
0x09F000,93:F000,4,0x1000,3.12,0.00,41.33,2.35,1.000,0.909,3.778,15.609,0.000
0x0A0000,94:8000,2,0x1000,39.06,0.49,100.00,27.93,1.000,0.734,1.952,4.000,0.000
0x0A0000,94:8000,4,0x1000,1.56,0.00,29.65,1.17,1.000,0.925,3.790,15.648,0.000
0x0A1000,94:9000,2,0x1000,32.42,0.98,100.00,23.18,1.000,0.766,1.954,4.000,0.000
0x0A1000,94:9000,4,0x1000,1.56,0.00,12.58,1.17,1.000,0.937,3.804,15.758,0.000
0x0A2000,94:A000,2,0x1000,32.03,0.00,100.00,22.90,1.000,0.744,1.955,4.000,0.000
0x0A2000,94:A000,4,0x1000,1.56,0.00,25.16,1.17,1.000,0.930,3.793,15.695,0.000
0x0A3000,94:B000,2,0x1000,33.59,0.00,100.00,24.02,1.000,0.735,1.955,4.000,0.000
0x0A3000,94:B000,4,0x1000,0.78,0.00,31.45,0.59,1.000,0.921,3.795,15.695,0.000
0x0A4000,94:C000,2,0x1000,30.86,0.00,100.00,22.06,1.000,0.732,1.955,4.000,0.000
0x0A4000,94:C000,4,0x1000,0.78,0.00,24.26,0.59,1.000,0.920,3.794,15.672,0.000
0x0A5000,94:D000,2,0x1000,41.41,1.46,100.00,29.61,1.000,0.704,1.945,4.000,0.000
0x0A5000,94:D000,4,0x1000,2.34,0.00,44.92,1.76,1.000,0.906,3.777,15.617,0.000
0x0A6000,94:E000,2,0x1000,34.38,0.00,100.00,24.58,1.000,0.735,1.954,4.000,0.000
0x0A6000,94:E000,4,0x1000,1.56,0.00,26.95,1.17,1.000,0.924,3.793,15.688,0.000
0x0A7000,94:F000,2,0x1000,35.16,0.49,100.00,25.14,1.000,0.747,1.955,4.000,0.000
0x0A7000,94:F000,4,0x1000,0.00,0.00,20.66,0.00,1.000,0.930,3.796,15.742,0.000
0x0A8000,95:8000,2,0x1000,61.33,4.88,100.00,44.11,1.000,0.662,1.925,4.000,0.004
0x0A8000,95:8000,4,0x1000,10.16,0.00,72.77,7.62,1.000,0.875,3.727,15.523,0.000
0x0A9000,95:9000,2,0x1000,35.55,0.49,99.61,25.42,1.000,0.748,1.953,4.000,0.000
0x0A9000,95:9000,4,0x1000,6.25,0.00,24.26,4.69,1.000,0.923,3.788,15.664,0.000
0x0AA000,95:A000,2,0x1000,11.33,0.00,35.55,11.33,0.359,0.922,0.699,2.078,0.637
0x0AA000,95:A000,4,0x1000,0.00,0.00,0.90,0.00,0.359,0.984,1.355,6.195,0.633
0x0AB000,95:B000,2,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.996
0x0AB000,95:B000,4,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.992
0x0AC000,95:C000,2,0x1000,65.62,24.90,85.55,52.28,0.926,0.566,1.624,3.738,0.074
0x0AC000,95:C000,4,0x1000,53.12,8.59,78.16,41.80,0.961,0.734,2.959,11.766,0.031
0x0AD000,95:D000,2,0x1000,77.73,11.23,97.66,55.58,1.000,0.652,1.883,3.996,0.000
0x0AD000,95:D000,4,0x1000,23.44,0.00,78.16,17.60,1.000,0.868,3.630,15.023,0.000
0x0AE000,95:E000,2,0x1000,53.12,0.98,100.00,38.67,1.000,0.662,1.933,4.000,0.012
0x0AE000,95:E000,4,0x1000,3.91,0.00,70.08,2.93,1.000,0.880,3.733,15.414,0.000
0x0AF000,95:F000,2,0x1000,58.20,4.88,100.00,42.62,1.000,0.668,1.923,4.000,0.016
0x0AF000,95:F000,4,0x1000,18.75,0.00,81.76,14.08,1.000,0.874,3.698,15.148,0.000
0x0B0000,96:8000,2,0x1000,90.62,26.37,100.00,99.69,1.000,0.545,1.784,4.000,0.438
0x0B0000,96:8000,4,0x1000,73.44,0.00,101.52,84.82,1.000,0.790,3.360,13.422,0.375
0x0B1000,96:9000,2,0x1000,58.20,0.49,100.00,41.87,1.000,0.680,1.925,4.000,0.004
0x0B1000,96:9000,4,0x1000,13.28,0.00,64.69,9.97,1.000,0.882,3.710,15.281,0.000
0x0B2000,96:A000,2,0x1000,59.38,1.95,100.00,42.45,1.000,0.675,1.925,4.000,0.000
0x0B2000,96:A000,4,0x1000,14.06,0.00,82.66,10.56,1.000,0.876,3.694,15.281,0.000
0x0B3000,96:B000,2,0x1000,51.95,2.44,100.00,37.15,1.000,0.684,1.928,4.000,0.000
0x0B3000,96:B000,4,0x1000,19.53,0.00,68.28,14.66,1.000,0.887,3.714,15.320,0.000
0x0B4000,96:C000,2,0x1000,53.52,1.95,100.00,38.49,1.000,0.688,1.931,4.000,0.004
0x0B4000,96:C000,4,0x1000,17.19,0.00,70.98,12.90,1.000,0.886,3.651,14.984,0.000
0x0B5000,96:D000,2,0x1000,45.70,1.95,100.00,32.68,1.000,0.697,1.937,4.000,0.000
0x0B5000,96:D000,4,0x1000,17.97,0.00,60.20,13.49,1.000,0.890,3.667,15.031,0.000
0x0B6000,96:E000,2,0x1000,46.48,1.46,100.00,33.24,1.000,0.709,1.937,4.000,0.000
0x0B6000,96:E000,4,0x1000,6.25,0.00,38.63,4.69,1.000,0.906,3.743,15.430,0.000
0x0B7000,96:F000,2,0x1000,69.14,5.37,100.00,50.33,1.000,0.658,1.902,4.000,0.012
0x0B7000,96:F000,4,0x1000,25.78,0.00,77.27,19.36,1.000,0.870,3.673,15.227,0.000
0x0B8000,97:8000,2,0x1000,56.64,1.46,100.00,41.23,1.000,0.674,1.935,4.000,0.012
0x0B8000,97:8000,4,0x1000,15.62,0.00,70.98,11.73,1.000,0.880,3.710,15.344,0.000
0x0B9000,97:9000,2,0x1000,54.30,6.84,100.00,38.82,1.000,0.685,1.919,4.000,0.000
0x0B9000,97:9000,4,0x1000,20.31,0.00,63.79,15.25,1.000,0.894,3.698,15.227,0.000
0x0BA000,97:A000,2,0x1000,51.17,2.93,100.00,36.59,1.000,0.683,1.927,4.000,0.000
0x0BA000,97:A000,4,0x1000,21.09,0.00,65.59,15.84,1.000,0.883,3.657,15.016,0.000
0x0BB000,97:B000,2,0x1000,67.19,0.98,100.00,48.04,1.000,0.686,1.916,4.000,0.000
0x0BB000,97:B000,4,0x1000,14.06,0.00,66.48,10.56,1.000,0.890,3.691,15.273,0.000
0x0BC000,97:C000,2,0x1000,63.67,2.93,100.00,45.53,1.000,0.672,1.916,4.000,0.000
0x0BC000,97:C000,4,0x1000,21.09,0.00,70.98,15.84,1.000,0.873,3.631,14.992,0.000
0x0BD000,97:D000,2,0x1000,81.64,23.44,100.00,58.37,1.000,0.614,1.863,4.000,0.000
0x0BD000,97:D000,4,0x1000,42.19,0.00,96.13,31.67,1.000,0.844,3.568,14.891,0.000
0x0BE000,97:E000,2,0x1000,82.42,17.58,100.00,58.93,1.000,0.613,1.863,3.992,0.000
0x0BE000,97:E000,4,0x1000,46.88,0.00,99.73,35.19,1.000,0.846,3.577,14.828,0.000
0x0BF000,97:F000,2,0x1000,67.58,10.25,99.22,48.32,1.000,0.654,1.897,4.000,0.000
0x0BF000,97:F000,4,0x1000,30.47,0.00,81.76,22.87,1.000,0.866,3.613,14.875,0.000
0x0C0000,98:8000,2,0x1000,78.91,29.79,100.00,56.76,1.000,0.601,1.842,4.000,0.004
0x0C0000,98:8000,4,0x1000,54.69,0.00,96.13,41.06,1.000,0.821,3.445,13.992,0.000
0x0C1000,98:9000,2,0x1000,69.92,17.58,100.00,49.99,1.000,0.635,1.883,4.000,0.000
0x0C1000,98:9000,4,0x1000,43.75,0.00,97.03,32.85,1.000,0.846,3.546,14.648,0.000
0x0C2000,98:A000,2,0x1000,83.98,33.69,100.00,60.41,1.000,0.599,1.837,3.988,0.004
0x0C2000,98:A000,4,0x1000,53.12,0.00,97.93,39.88,1.000,0.819,3.499,14.438,0.000
0x0C3000,98:B000,2,0x1000,80.47,16.60,100.00,58.23,1.000,0.633,1.869,4.000,0.008
0x0C3000,98:B000,4,0x1000,35.94,0.78,83.55,26.98,1.000,0.850,3.544,14.523,0.000
0x0C4000,98:C000,2,0x1000,84.77,22.95,100.00,60.61,1.000,0.612,1.864,4.000,0.000
0x0C4000,98:C000,4,0x1000,48.44,0.00,98.83,36.36,1.000,0.840,3.568,14.758,0.000
0x0C5000,98:D000,2,0x1000,73.44,13.18,100.00,52.51,1.000,0.629,1.893,4.000,0.000
0x0C5000,98:D000,4,0x1000,34.38,0.00,91.64,25.81,1.000,0.845,3.590,14.797,0.000
0x0C6000,98:E000,2,0x1000,78.91,11.23,100.00,56.42,1.000,0.628,1.891,4.000,0.000
0x0C6000,98:E000,4,0x1000,43.75,0.00,87.15,32.85,1.000,0.849,3.586,14.781,0.000
0x0C7000,98:F000,2,0x1000,75.78,26.37,100.00,54.51,1.000,0.613,1.857,3.996,0.004
0x0C7000,98:F000,4,0x1000,54.69,0.78,94.34,41.06,1.000,0.818,3.523,14.547,0.000
0x0C8000,99:8000,2,0x1000,80.86,12.21,100.00,57.81,1.000,0.619,1.882,4.000,0.000
0x0C8000,99:8000,4,0x1000,34.38,0.00,97.93,25.81,1.000,0.842,3.591,14.750,0.000
0x0C9000,99:9000,2,0x1000,78.91,19.53,100.00,56.42,1.000,0.626,1.866,4.000,0.000
0x0C9000,99:9000,4,0x1000,52.34,0.00,92.54,39.30,1.000,0.842,3.565,14.656,0.000
0x0CA000,99:A000,2,0x1000,80.08,22.95,100.00,57.26,1.000,0.620,1.864,3.996,0.000
0x0CA000,99:A000,4,0x1000,50.78,0.00,100.62,38.12,1.000,0.836,3.570,14.789,0.000
0x0CB000,99:B000,2,0x1000,78.52,11.23,100.00,56.14,1.000,0.637,1.895,3.996,0.000
0x0CB000,99:B000,4,0x1000,28.91,0.00,88.95,21.70,1.000,0.861,3.638,14.969,0.000
0x0CC000,99:C000,2,0x1000,85.94,21.00,100.00,61.45,1.000,0.609,1.848,4.000,0.000
0x0CC000,99:C000,4,0x1000,57.03,0.00,100.62,42.82,1.000,0.834,3.529,14.469,0.000
0x0CD000,99:D000,2,0x1000,76.17,17.58,100.00,54.79,1.000,0.627,1.865,3.996,0.004
0x0CD000,99:D000,4,0x1000,43.75,0.00,87.15,32.85,1.000,0.851,3.571,14.758,0.000
0x0CE000,99:E000,2,0x1000,73.83,14.65,100.00,52.79,1.000,0.645,1.883,4.000,0.000
0x0CE000,99:E000,4,0x1000,35.16,0.00,85.35,26.39,1.000,0.850,3.583,14.766,0.000
0x0CF000,99:F000,2,0x1000,66.41,11.72,99.22,47.48,1.000,0.651,1.888,4.000,0.000
0x0CF000,99:F000,4,0x1000,28.91,0.00,79.96,21.70,1.000,0.869,3.611,14.852,0.000
0x0D0000,9A:8000,2,0x1000,83.98,18.07,100.00,60.05,1.000,0.622,1.866,4.000,0.000
0x0D0000,9A:8000,4,0x1000,49.22,0.00,96.13,36.95,1.000,0.846,3.558,14.781,0.000
0x0D1000,9A:9000,2,0x1000,84.77,17.58,100.00,61.34,1.000,0.634,1.878,4.000,0.008
0x0D1000,9A:9000,4,0x1000,36.72,0.00,84.45,27.57,1.000,0.859,3.609,14.922,0.000
0x0D2000,9A:A000,2,0x1000,77.34,18.55,100.00,55.30,1.000,0.635,1.875,4.000,0.000
0x0D2000,9A:A000,4,0x1000,37.50,0.00,86.25,28.15,1.000,0.854,3.557,14.570,0.000
0x0D3000,9A:B000,2,0x1000,75.39,13.67,100.00,54.23,1.000,0.647,1.872,4.000,0.004
0x0D3000,9A:B000,4,0x1000,38.28,0.00,79.96,28.74,1.000,0.857,3.600,14.789,0.000
0x0D4000,9A:C000,2,0x1000,78.91,28.32,100.00,57.10,1.000,0.615,1.851,4.000,0.008
0x0D4000,9A:C000,4,0x1000,50.78,0.00,89.84,38.12,1.000,0.832,3.547,14.734,0.000
0x0D5000,9A:D000,2,0x1000,81.64,19.53,100.00,58.37,1.000,0.617,1.863,4.000,0.000
0x0D5000,9A:D000,4,0x1000,42.19,0.00,92.54,31.67,1.000,0.839,3.572,14.727,0.000
0x0D6000,9A:E000,2,0x1000,71.48,12.70,100.00,51.42,1.000,0.638,1.889,4.000,0.004
0x0D6000,9A:E000,4,0x1000,32.03,0.00,82.66,24.05,1.000,0.859,3.629,14.938,0.000
0x0D7000,9A:F000,2,0x1000,77.34,10.74,100.00,55.30,1.000,0.645,1.893,4.000,0.000
0x0D7000,9A:F000,4,0x1000,32.03,0.00,80.86,24.05,1.000,0.865,3.617,14.758,0.000
0x0D8000,9B:8000,2,0x1000,77.73,21.97,100.00,55.58,1.000,0.611,1.859,3.996,0.000
0x0D8000,9B:8000,4,0x1000,47.66,0.00,99.73,35.78,1.000,0.835,3.571,14.719,0.000
0x0D9000,9B:9000,2,0x1000,80.86,18.55,100.00,57.81,1.000,0.622,1.868,3.996,0.000
0x0D9000,9B:9000,4,0x1000,53.91,0.00,99.73,40.47,1.000,0.837,3.536,14.586,0.000
0x0DA000,9B:A000,2,0x1000,80.47,14.65,100.00,57.54,1.000,0.628,1.873,4.000,0.000
0x0DA000,9B:A000,4,0x1000,47.66,0.00,100.62,35.78,1.000,0.846,3.566,14.617,0.000
0x0DB000,9B:B000,2,0x1000,74.22,18.07,100.00,53.07,1.000,0.631,1.881,4.000,0.000
0x0DB000,9B:B000,4,0x1000,36.72,0.00,91.64,27.57,1.000,0.849,3.611,14.992,0.000
0x0DC000,9B:C000,2,0x1000,80.47,15.62,100.00,57.88,1.000,0.632,1.874,3.996,0.004
0x0DC000,9B:C000,4,0x1000,42.97,0.00,101.52,32.26,1.000,0.853,3.591,14.820,0.000
0x0DD000,9B:D000,2,0x1000,74.61,19.53,100.00,53.35,1.000,0.632,1.872,4.000,0.000
0x0DD000,9B:D000,4,0x1000,39.84,0.00,85.35,29.91,1.000,0.849,3.571,14.789,0.000
0x0DE000,9B:E000,2,0x1000,74.61,20.02,99.61,53.35,1.000,0.630,1.874,4.000,0.000
0x0DE000,9B:E000,4,0x1000,37.50,0.00,87.15,28.15,1.000,0.850,3.586,14.781,0.000
0x0DF000,9B:F000,2,0x1000,55.08,10.25,100.00,39.38,1.000,0.668,1.911,4.000,0.000
0x0DF000,9B:F000,4,0x1000,21.88,0.00,73.67,16.42,1.000,0.879,3.682,15.172,0.000
0x0E0000,9C:8000,2,0x1000,87.11,28.32,100.00,62.28,1.000,0.598,1.836,4.000,0.000
0x0E0000,9C:8000,4,0x1000,63.28,0.00,97.93,47.51,1.000,0.816,3.466,14.281,0.000
0x0E1000,9C:9000,2,0x1000,25.00,13.67,27.73,25.00,0.277,0.881,0.496,1.832,0.719
0x0E1000,9C:9000,4,0x1000,21.09,0.00,26.95,22.15,0.281,0.944,0.949,4.688,0.711
0x0E2000,9C:A000,2,0x1000,90.62,29.79,96.09,68.30,0.969,0.602,1.697,3.867,0.035
0x0E2000,9C:A000,4,0x1000,80.47,0.78,101.52,62.59,0.969,0.773,3.023,12.039,0.023
0x0E3000,9C:B000,2,0x1000,93.36,23.93,99.22,67.55,1.000,0.613,1.790,3.953,0.008
0x0E3000,9C:B000,4,0x1000,92.97,1.56,109.61,69.80,1.000,0.770,3.010,11.289,0.000
0x0E4000,9C:C000,2,0x1000,95.31,39.55,99.61,68.15,1.000,0.574,1.773,3.980,0.000
0x0E4000,9C:C000,4,0x1000,94.53,1.56,110.51,70.97,1.000,0.730,3.009,11.594,0.000
0x0E5000,9C:D000,2,0x1000,95.70,37.60,100.00,75.42,1.000,0.586,1.779,3.988,0.066
0x0E5000,9C:D000,4,0x1000,93.75,0.00,108.71,70.38,1.000,0.725,2.848,10.117,0.000
0x0E6000,9C:E000,2,0x1000,98.05,75.20,95.70,81.06,1.000,0.514,1.655,3.859,0.102
0x0E6000,9C:E000,4,0x1000,97.66,6.25,108.71,77.72,1.000,0.634,2.652,9.922,0.039
0x0E7000,9C:F000,2,0x1000,95.70,62.01,80.86,90.22,1.000,0.489,1.561,3.613,0.207
0x0E7000,9C:F000,4,0x1000,96.88,19.53,89.84,93.71,1.000,0.599,2.531,9.578,0.188
0x0E8000,9D:8000,2,0x1000,95.31,46.88,100.00,69.79,1.000,0.567,1.759,3.980,0.016
0x0E8000,9D:8000,4,0x1000,94.53,0.78,111.41,70.97,1.000,0.717,2.924,10.914,0.000
0x0E9000,9D:9000,2,0x1000,92.58,45.90,99.61,81.31,1.000,0.571,1.767,3.969,0.148
0x0E9000,9D:9000,4,0x1000,95.31,0.00,110.51,71.56,1.000,0.726,2.925,10.875,0.000
0x0EA000,9D:A000,2,0x1000,93.75,39.55,100.00,67.03,1.000,0.570,1.784,3.996,0.000
0x0EA000,9D:A000,4,0x1000,96.88,0.00,114.10,72.73,1.000,0.727,2.994,11.141,0.000
0x0EB000,9D:B000,2,0x1000,94.14,51.27,100.00,75.40,1.000,0.548,1.761,4.000,0.078
0x0EB000,9D:B000,4,0x1000,95.31,0.78,111.41,75.86,1.000,0.693,2.906,11.094,0.039
0x0EC000,9D:C000,2,0x1000,89.06,34.18,100.00,65.98,1.000,0.594,1.800,3.988,0.023
0x0EC000,9D:C000,4,0x1000,88.28,0.00,106.02,67.07,1.000,0.748,3.059,11.680,0.008
0x0ED000,9D:D000,2,0x1000,85.94,38.09,99.22,68.83,1.000,0.587,1.795,3.973,0.078
0x0ED000,9D:D000,4,0x1000,92.19,0.78,112.30,75.03,1.000,0.741,3.091,11.906,0.055
0x0EE000,9D:E000,2,0x1000,87.89,27.83,100.00,62.84,1.000,0.614,1.800,3.973,0.000
0x0EE000,9D:E000,4,0x1000,78.12,0.00,97.03,58.65,1.000,0.800,3.175,12.258,0.000
0x0EF000,9D:F000,2,0x1000,76.17,40.04,68.75,79.67,0.797,0.612,1.291,3.164,0.301
0x0EF000,9D:F000,4,0x1000,76.56,12.50,81.76,77.51,0.797,0.717,2.099,7.992,0.227
0x0F0000,9E:8000,2,0x1000,96.48,117.68,58.20,82.25,0.969,0.258,0.892,3.215,0.125
0x0F0000,9E:8000,4,0x1000,96.09,47.66,104.22,77.34,0.969,0.310,1.334,6.383,0.047
0x0F1000,9E:9000,2,0x1000,83.59,104.00,45.70,85.99,0.836,0.335,0.720,2.867,0.285
0x0F1000,9E:9000,4,0x1000,83.59,51.56,79.96,79.35,0.836,0.366,1.006,5.203,0.172
0x0F2000,9E:A000,2,0x1000,81.25,39.06,78.91,71.01,0.961,0.556,1.412,3.500,0.145
0x0F2000,9E:A000,4,0x1000,71.09,13.28,70.08,59.79,0.969,0.692,2.472,9.773,0.078
0x0F3000,9E:B000,2,0x1000,96.09,41.99,95.31,71.18,1.000,0.547,1.570,3.746,0.023
0x0F3000,9E:B000,4,0x1000,89.84,0.78,106.91,67.45,1.000,0.748,2.859,10.805,0.000
0x0F4000,9E:C000,2,0x1000,90.23,53.71,96.09,66.46,1.000,0.498,1.565,3.844,0.020
0x0F4000,9E:C000,4,0x1000,88.28,1.56,107.81,66.28,1.000,0.699,2.906,11.547,0.000
0x0F5000,9E:D000,2,0x1000,89.45,59.08,90.62,66.27,0.992,0.512,1.543,3.727,0.023
0x0F5000,9E:D000,4,0x1000,85.94,4.69,101.52,64.52,1.000,0.720,2.879,11.148,0.000
0x0F6000,9E:E000,2,0x1000,52.34,41.02,49.61,57.58,0.562,0.698,0.815,2.516,0.453
0x0F6000,9E:E000,4,0x1000,53.12,6.25,61.09,61.36,0.562,0.786,1.421,5.828,0.422
0x0F7000,9E:F000,2,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.996
0x0F7000,9E:F000,4,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.992
0x0F8000,9F:8000,2,0x1000,69.53,13.18,100.00,49.71,1.000,0.648,1.874,3.984,0.000
0x0F8000,9F:8000,4,0x1000,17.97,0.00,72.77,13.49,1.000,0.858,3.637,15.172,0.000
0x0F9000,9F:9000,2,0x1000,71.88,6.84,100.00,51.39,1.000,0.653,1.909,4.000,0.000
0x0F9000,9F:9000,4,0x1000,16.41,0.00,77.27,12.32,1.000,0.867,3.690,15.375,0.000
0x0FA000,9F:A000,2,0x1000,71.09,11.72,100.00,50.83,1.000,0.644,1.891,4.000,0.000
0x0FA000,9F:A000,4,0x1000,25.78,0.00,84.45,19.36,1.000,0.853,3.648,15.141,0.000
0x0FB000,9F:B000,2,0x1000,64.45,13.18,99.61,46.08,1.000,0.658,1.897,3.992,0.000
0x0FB000,9F:B000,4,0x1000,22.66,0.00,74.57,17.01,1.000,0.872,3.663,15.125,0.000
0x0FC000,9F:C000,2,0x1000,74.61,7.32,100.00,53.35,1.000,0.649,1.906,4.000,0.000
0x0FC000,9F:C000,4,0x1000,23.44,0.00,87.15,17.60,1.000,0.863,3.680,15.297,0.000
0x0FD000,9F:D000,2,0x1000,55.86,4.39,100.00,39.94,1.000,0.682,1.931,4.000,0.000
0x0FD000,9F:D000,4,0x1000,10.16,0.00,53.91,7.62,1.000,0.892,3.731,15.453,0.000
