tile,tile_hex,count,palette,hflip,vflip,priority,vram_offset_if_charbase_8000_4bpp
275,0x113,28,6,0,0,0,0xA260
770,0x302,27,3,0,0,0,0xE040
531,0x213,27,3,1,1,1,0xC260
3,0x003,26,5,1,0,0,0x8060
274,0x112,26,4,1,1,0,0xA240
530,0x212,26,5,1,0,0,0xC240
2,0x002,25,5,1,0,0,0x8040
531,0x213,25,3,1,0,0,0xC260
772,0x304,25,3,0,1,1,0xE080
257,0x101,25,2,1,0,0,0xA020
313,0x139,24,2,1,0,0,0xA720
359,0x167,24,2,1,0,0,0xACE0
516,0x204,24,3,0,1,0,0xC080
786,0x312,24,3,1,1,0,0xE240
515,0x203,24,4,1,1,0,0xC060
771,0x303,23,5,0,0,0,0xE060
770,0x302,23,2,1,1,0,0xE040
772,0x304,23,3,0,0,0,0xE080
772,0x304,23,4,0,1,0,0xE080
787,0x313,23,3,1,1,0,0xE260
515,0x203,23,5,1,0,0,0xC060
771,0x303,22,2,1,1,0,0xE060
4,0x004,22,3,1,1,0,0x8080
261,0x105,22,3,0,1,0,0xA0A0
314,0x13A,22,2,1,0,0,0xA740
514,0x202,22,5,1,0,0,0xC040
259,0x103,21,6,0,0,0,0xA060
531,0x213,21,5,0,1,1,0xC260
375,0x177,21,3,0,1,1,0xAEE0
532,0x214,21,3,1,1,0,0xC280
530,0x212,21,4,1,0,0,0xC240
531,0x213,21,5,1,0,0,0xC260
787,0x313,20,2,1,1,0,0xE260
514,0x202,20,4,1,1,0,0xC040
530,0x212,20,3,1,1,1,0xC240
771,0x303,20,4,1,1,0,0xE060
786,0x312,20,5,1,0,0,0xE240
771,0x303,20,5,1,0,0,0xE060
19,0x013,19,2,1,1,0,0x8260
786,0x312,19,2,1,1,0,0xE240
3,0x003,19,2,0,1,0,0x8060
259,0x103,19,4,0,0,0,0xA060
2,0x002,18,2,1,1,0,0x8040
276,0x114,18,3,0,1,1,0xA280
314,0x13A,18,3,0,1,1,0xA740
258,0x102,18,4,0,0,0,0xA040
513,0x201,18,3,1,1,0,0xC020
514,0x202,18,4,1,0,0,0xC040
515,0x203,18,4,1,0,0,0xC060
515,0x203,18,4,0,1,1,0xC060
786,0x312,17,3,0,0,1,0xE240
532,0x214,17,3,1,0,1,0xC280
328,0x148,17,3,0,1,1,0xA900
2,0x002,17,2,0,1,0,0x8040
274,0x112,17,4,1,0,0,0xA240
275,0x113,17,5,0,0,0,0xA260
530,0x212,16,5,0,1,1,0xC240
275,0x113,16,5,0,1,1,0xA260
359,0x167,16,3,0,1,0,0xACE0
5,0x005,16,3,1,1,1,0x80A0
788,0x314,16,3,0,1,1,0xE280
787,0x313,16,5,1,0,0,0xE260
770,0x302,16,5,1,0,0,0xE040
3,0x003,15,2,1,1,0,0x8060
18,0x012,15,2,1,1,0,0x8240
258,0x102,15,6,0,0,0,0xA040
19,0x013,15,3,1,0,1,0x8260
259,0x103,15,3,1,1,0,0xA060
788,0x314,15,3,0,0,0,0xE280
103,0x067,15,3,1,1,1,0x8CE0
258,0x102,15,4,1,1,0,0xA040
18,0x012,14,3,1,0,1,0x8240
258,0x102,14,2,0,1,1,0xA040
810,0x32A,14,3,0,1,0,0xE540
773,0x305,14,3,0,1,1,0xE0A0
57,0x039,14,3,1,1,1,0x8720
274,0x112,14,6,0,0,0,0xA240
531,0x213,14,4,1,0,0,0xC260
786,0x312,14,4,0,0,1,0xE240
19,0x013,14,4,1,0,0,0x8260
787,0x313,13,3,0,0,1,0xE260
274,0x112,13,3,1,0,1,0xA240
825,0x339,13,3,0,1,0,0xE720
840,0x348,13,3,0,1,1,0xE900
514,0x202,13,3,0,1,1,0xC040
275,0x113,12,3,1,1,0,0xA260
275,0x113,12,3,1,0,1,0xA260
259,0x103,12,2,0,1,1,0xA060
258,0x102,12,3,1,1,0,0xA040
516,0x204,12,2,1,0,0,0xC080
517,0x205,12,3,0,1,0,0xC0A0
275,0x113,12,3,1,0,0,0xA260
259,0x103,12,3,1,0,1,0xA060
328,0x148,12,3,0,1,0,0xA900
810,0x32A,12,4,0,1,0,0xE540
257,0x101,12,3,0,1,1,0xA020
3,0x003,12,4,1,0,0,0x8060
514,0x202,12,4,0,1,1,0xC040
514,0x202,11,6,0,0,0,0xC040
375,0x177,11,2,1,0,0,0xAEE0
328,0x148,11,2,1,0,0,0xA900
260,0x104,11,3,1,0,0,0xA080
20,0x014,11,3,1,1,0,0x8280
258,0x102,11,3,1,0,1,0xA040
259,0x103,11,3,1,0,0,0xA060
773,0x305,11,4,0,1,0,0xE0A0
2,0x002,11,3,1,0,0,0x8040
514,0x202,11,4,0,0,0,0xC040
515,0x203,11,4,0,0,0,0xC060
274,0x112,10,3,1,1,0,0xA240
517,0x205,10,3,1,0,1,0xC0A0
276,0x114,10,2,0,1,1,0xA280
4,0x004,10,2,0,1,0,0x8080
825,0x339,10,3,0,1,1,0xE720
313,0x139,10,3,0,1,0,0xA720
887,0x377,10,3,0,1,1,0xEEE0
826,0x33A,10,3,0,1,0,0xE740
515,0x203,10,3,0,0,1,0xC060
772,0x304,10,3,1,1,0,0xE080
313,0x139,10,3,0,1,1,0xA720
359,0x167,10,3,0,1,1,0xACE0
515,0x203,10,3,0,1,1,0xC060
840,0x348,10,4,0,1,0,0xE900
516,0x204,10,3,0,0,0,0xC080
276,0x114,10,2,1,1,0,0xA280
772,0x304,10,2,0,0,0,0xE080
773,0x305,10,2,0,0,0,0xE0A0
275,0x113,10,4,1,0,0,0xA260
826,0x33A,10,4,0,0,1,0xE740
19,0x013,10,5,1,0,0,0x8260
786,0x312,10,5,0,0,0,0xE240
274,0x112,10,5,0,0,0,0xA240
770,0x302,10,5,0,1,1,0xE040
770,0x302,9,5,1,1,0,0xE040
274,0x112,9,5,0,1,1,0xA240
532,0x214,9,2,1,0,0,0xC280
871,0x367,9,3,0,1,0,0xECE0
276,0x114,9,2,0,1,0,0xA280
274,0x112,9,3,1,0,0,0xA240
