row_index,pc,snes_pc_hid,group,raw,op0,op0_handler,arg01_le,op3,op3_handler,op4_or_arg,op4_handler_if_opcode,op5_or_payload,op5_handler_if_opcode,payload56_le,tail78_le,tail78_pc_if_30000,note
27,0x03993A,C3:993A,B,38 05 01 09 32 40 17 DB F0,38,97DF,0105,09,8A3A,32,96F8,40,8FB3,1740,F0DB,0x03F0DB,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
28,0x039943,C3:9943,B,38 05 01 0B 32 52 1B DB F0,38,97DF,0105,0B,8A4C,32,96F8,52,8B16,1B52,F0DB,0x03F0DB,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
29,0x03994C,C3:994C,B,38 05 01 0B 32 5B 1D DB F0,38,97DF,0105,0B,8A4C,32,96F8,5B,8FF2,1D5B,F0DB,0x03F0DB,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
30,0x039955,C3:9955,B,38 05 01 18 32 D2 36 DB F0,38,97DF,0105,18,9B6B,32,96F8,D2,8532,36D2,F0DB,0x03F0DB,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
31,0x03995E,C3:995E,B,38 05 01 0A 32 49 19 DB F0,38,97DF,0105,0A,8A24,32,96F8,49,9977,1949,F0DB,0x03F0DB,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
32,0x039967,C3:9967,B,38 05 01 14 32 AF 2F DB F0,38,97DF,0105,14,8A9D,32,96F8,AF,4C84,2FAF,F0DB,0x03F0DB,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
33,0x039970,C3:9970,B,38 05 01 0C 32 64 1F DB F0,38,97DF,0105,0C,8963,32,96F8,64,92A9,1F64,F0DB,0x03F0DB,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
34,0x039979,C3:9979,B,38 05 01 0E 35 0F 07 DB F0,38,97DF,0105,0E,8963,35,973E,0F,8963,070F,F0DB,0x03F0DB,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
35,0x039982,C3:9982,B,38 05 01 08 32 37 15 DB F0,38,97DF,0105,08,8A0D,32,96F8,37,97A4,1537,F0DB,0x03F0DB,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
36,0x03998B,C3:998B,B,38 05 01 12 32 9D 2B DB F0,38,97DF,0105,12,8A7B,32,96F8,9D,8963,2B9D,F0DB,0x03F0DB,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
37,0x039994,C3:9994,B,38 05 01 10 32 8B 27 DB F0,38,97DF,0105,10,8A54,32,96F8,8B,8963,278B,F0DB,0x03F0DB,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
38,0x03999D,C3:999D,B,38 05 01 0F 32 82 25 DB F0,38,97DF,0105,0F,8963,32,96F8,82,8963,2582,F0DB,0x03F0DB,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
39,0x0399A6,C3:99A6,B,38 05 01 11 32 94 29 DB F0,38,97DF,0105,11,8A72,32,96F8,94,8963,2994,F0DB,0x03F0DB,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
40,0x0399AF,C3:99AF,B,38 05 01 13 32 A6 2D DB F0,38,97DF,0105,13,8A94,32,96F8,A6,A910,2DA6,F0DB,0x03F0DB,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
41,0x0399B8,C3:99B8,B,38 05 01 16 32 C1 33 DB F0,38,97DF,0105,16,8AA7,32,96F8,C1,8C4C,33C1,F0DB,0x03F0DB,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
42,0x0399C1,C3:99C1,B,38 05 01 15 32 B8 31 DB F0,38,97DF,0105,15,8AE0,32,96F8,B8,8387,31B8,F0DB,0x03F0DB,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
43,0x0399CA,C3:99CA,B,37 05 01 19 35 1C 0A C6 F0,37,97A4,0105,19,9B82,35,973E,1C,8DF5,0A1C,F0C6,0x03F0C6,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
44,0x0399D3,C3:99D3,B,37 05 01 1A 35 2B 0F CD F0,37,97A4,0105,1A,8D9D,35,973E,2B,9662,0F2B,F0CD,0x03F0CD,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
45,0x0399DC,C3:99DC,B,37 05 01 1B 35 34 11 D4 F0,37,97A4,0105,1B,8DD6,35,973E,34,9735,1134,F0D4,0x03F0D4,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
