map_base,char_base,bpp,score,nonblank_ref_ratio,top_palette_ratio,top_attr_ratio,tile_unique,tile_repeat_ratio,h_or_v_flip_ratio,priority_ratio,pair_repeat_ratio,top_tiles,top_attrs
E000,0000,2,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
E000,0000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
E000,2000,2,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
E000,2000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
E000,4000,2,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
E000,4000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
E000,6000,2,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
E000,6000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
E000,A000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
E000,C000,2,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
E000,C000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
E800,0000,2,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
E800,0000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
E800,2000,2,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
E800,2000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
E800,4000,2,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
E800,4000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
E800,6000,2,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
E800,6000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
E800,A000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
E800,C000,2,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
E800,C000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
9800,0000,2,7.3804,1.0,0.9814,0.9717,7,0.9932,0.0273,0.0195,0.9859,000:944 0FF:61 300:13 2FF:2 360:2 3FF:1 307:1,p0r0h0v0:995 p7r1h1v1:16 p0r0h0v1:8 p1r1h1v0:2
9800,0000,4,7.3804,1.0,0.9814,0.9717,7,0.9932,0.0273,0.0195,0.9859,000:944 0FF:61 300:13 2FF:2 360:2 3FF:1 307:1,p0r0h0v0:995 p7r1h1v1:16 p0r0h0v1:8 p1r1h1v0:2
9800,2000,2,7.3804,1.0,0.9814,0.9717,7,0.9932,0.0273,0.0195,0.9859,000:944 0FF:61 300:13 2FF:2 360:2 3FF:1 307:1,p0r0h0v0:995 p7r1h1v1:16 p0r0h0v1:8 p1r1h1v0:2
9800,4000,2,7.3804,1.0,0.9814,0.9717,7,0.9932,0.0273,0.0195,0.9859,000:944 0FF:61 300:13 2FF:2 360:2 3FF:1 307:1,p0r0h0v0:995 p7r1h1v1:16 p0r0h0v1:8 p1r1h1v0:2
9800,C000,2,7.3774,0.998,0.9814,0.9717,7,0.9932,0.0273,0.0195,0.9859,000:944 0FF:61 300:13 2FF:2 360:2 3FF:1 307:1,p0r0h0v0:995 p7r1h1v1:16 p0r0h0v1:8 p1r1h1v0:2
9800,6000,2,7.376,0.9971,0.9814,0.9717,7,0.9932,0.0273,0.0195,0.9859,000:944 0FF:61 300:13 2FF:2 360:2 3FF:1 307:1,p0r0h0v0:995 p7r1h1v1:16 p0r0h0v1:8 p1r1h1v0:2
9800,6000,4,7.376,0.9971,0.9814,0.9717,7,0.9932,0.0273,0.0195,0.9859,000:944 0FF:61 300:13 2FF:2 360:2 3FF:1 307:1,p0r0h0v0:995 p7r1h1v1:16 p0r0h0v1:8 p1r1h1v0:2
9800,4000,4,7.373,0.9951,0.9814,0.9717,7,0.9932,0.0273,0.0195,0.9859,000:944 0FF:61 300:13 2FF:2 360:2 3FF:1 307:1,p0r0h0v0:995 p7r1h1v1:16 p0r0h0v1:8 p1r1h1v0:2
