pattern_name,hit_index,hit_cpu_addr,hit_file_pc,context_cpu_start,context_bytes
sta_9A,2,84:80F5,0x0480F5,84:80E5,20 42 84 85 A2 86 A3 A5 9B 22 39 AD 80 20 42 84 85 9A 20 42 84 86 99 85 98 CE 68 12 D0 04 22 1B 87 84 6B 48 B7 98 85 9C C8 B7
sta_9A,3,84:81FD,0x0481FD,84:81ED,A3 68 68 4C C5 80 B7 98 48 C8 B7 98 48 C8 B7 98 85 9A 68 85 99 68 85 98 68 68 4C 78 80 20 42 84 86 9E 05 9E D0 10 80 09 20 42
sta_9A,4,84:8238,0x048238,84:8228,01 CA 18 65 98 85 98 8A 65 99 85 99 A9 00 65 9A 85 9A 60 20 5E 84 85 A2 86 A3 4C 0F 84 20 0F 84 A5 A2 A6 A3 4C 24 84 B2 9C 4C
sta_9A,5,84:8485,0x048485,84:8475,48 A5 99 48 A5 9A 48 A9 04 20 10 84 20 B9 84 68 85 9A 68 85 99 68 85 98 A0 01 B7 98 48 C8 B7 98 48 C8 B7 98 85 9A 68 85 99 68
sta_9A,6,84:8499,0x048499,84:8489,99 68 85 98 A0 01 B7 98 48 C8 B7 98 48 C8 B7 98 85 9A 68 85 99 68 85 98 C8 68 8D 6B 12 EE 66 12 68 68 4C 78 80 B7 98 20 6D 87
sta_9A,7,84:84E8,0x0484E8,84:84D8,60 20 42 84 85 A6 20 42 84 86 A5 85 A4 20 42 84 85 9A 8E 6E 12 20 42 84 85 98 86 99 60 EB A9 00 EB C2 20 85 00 A9 00 04 38 E5
sta_9A,8,84:8543,0x048543,84:8533,C2 20 A7 2A 85 A7 85 98 E2 20 A0 02 B7 2A 85 A9 85 9A 20 54 85 68 85 9A C2 20 68 85 98 E2 20 7A 6B 48 5A DA A0 FF C2 10 A2 00
sta_9A,9,84:8549,0x048549,84:8539,85 98 E2 20 A0 02 B7 2A 85 A9 85 9A 20 54 85 68 85 9A C2 20 68 85 98 E2 20 7A 6B 48 5A DA A0 FF C2 10 A2 00 00 A5 98 DF 00 C0
sta_9A,10,84:9D07,0x049D07,84:9CF7,D7 85 77 D7 85 5B D8 85 F7 D9 85 21 DA 85 AE D7 85 9A D8 85 9C 90 85 64 ED 81 A2 ED 81 D5 ED 81 89 A4 81 21 DD 84 29 CE 80 08
sta_9A,11,86:3E28,0x063E28,86:3E18,09 6E F4 D4 88 02 6B 1B 09 1F ED 24 20 8C 96 A8 85 9A 11 8D 1F AD 44 42 82 C7 0B F6 9F 80 C0 84 85 6B 1F CD 4F 60 22 E6 03 07
sta_9A,12,87:5F36,0x075F36,87:5F26,05 AB 2D B4 92 86 E3 65 5C AA 11 76 C0 5D B3 F4 85 9A B4 C4 4C 9E E5 77 D8 67 1B E6 05 AB 2D B4 92 86 C7 94 7C A3 0D 32 F6 BD
sta_9A,13,87:5F98,0x075F98,87:5F88,D9 56 E5 47 1B E6 2A DF E3 CE 9E 2B 3B F6 CF 3F 85 9A 5E B5 38 86 EF 28 85 3F 6C F3 AC 70 F5 A5 7C 33 8D F3 02 D5 96 DA 49 43
sta_9A,14,87:6C18,0x076C18,87:6C08,1B 36 78 6C 27 F6 E4 1C 3D 40 CD A0 52 8B 62 64 85 9A B4 53 8E 59 D3 EA 34 94 3E A3 49 70 38 DF DD A6 20 7C B0 73 11 C5 67 93
sta_9A,15,88:76F5,0x0876F5,88:76E5,48 4E 68 EA 7D 3D AF CD 8F A4 2C D5 A6 39 88 A0 85 9A B8 4A 7D A6 BD 8B E9 C0 24 3A 7D 87 A4 E1 29 68 CC F6 9A FB AD F5 01 01
sta_9A,16,88:7980,0x087980,88:7970,C7 2C E8 FB 70 B3 85 D9 47 F0 83 E4 E0 3B 79 A7 85 9A B4 BA 6F 98 8E 9D BC CE 77 28 F1 C1 4E 20 1F 6E 16 70 BB 28 F3 F2 37 2A
sta_9A,17,88:8156,0x088156,88:8146,FF C0 CA C7 4B F7 77 AD C3 1C B3 AB 25 2F E1 6C 85 9A B4 53 88 16 6F A0 F9 30 4B 96 FD 99 AC 40 5F 72 27 4F 8D 06 38 DF DD A6
sta_9A,18,88:8476,0x088476,88:8466,6D FE 17 E7 5A 7B 7C 4F D8 46 E9 BE 59 D2 D3 36 85 9A 37 FF C0 99 F2 CD 5A 78 9E DB B6 B9 86 75 9F 55 B0 A7 DD 3F B6 88 A7 B9
sta_9A,19,88:DA80,0x08DA80,88:DA70,FD EB 4F 1C 31 CC 75 3D D5 82 35 67 FB 33 7A 64 85 9A B4 BB 10 0B 56 75 7C 82 5C FC 09 A5 AC 4C EE 6A 4E 01 E9 BB C9 FD E8 14
sta_9A,20,89:0BDF,0x090BDF,89:0BCF,7C 40 2D 5E B1 C6 F1 4A 2E C0 B3 75 B9 9B C2 64 85 9A B4 52 E3 8E 59 D1 3E 59 D7 E0 75 27 57 F8 C9 1E E7 AD BB 10 09 F2 CE 8C
