subcode_dec,subcode_hex,table_addr,table_file_pc,entry_bytes,target_addr,target_file_pc_hirom,used_in_39847_399E5,first_rtl_offset_within_96,target_first16,target_first64
69,45,84:9CBA,0x049CBA,CD A3 81,81:A3CD,0x01A3CD,0,5,A9 60 8D 5D 15 6B EE 68 12 9C 11 15 C2 20 A9 EB,A9 60 8D 5D 15 6B EE 68 12 9C 11 15 C2 20 A9 EB A3 85 0F E2 20 A9 32 85 0D 22 1E AC 80 6B A2 00 BD 91 15 85 6B A9 55 22 16 92 83 9D 15 03 E8 E0 0A 90 ED 22 E8 AC 80 A2 00 BC 15 03 30 07 B9 34
70,46,84:9CBD,0x049CBD,A6 98 81,81:98A6,0x0198A6,0,26,AD 5A 15 8D 59 15 AD 5F 15 0D 0A 03 D0 07 AD 07,AD 5A 15 8D 59 15 AD 5F 15 0D 0A 03 D0 07 AD 07 03 89 05 F0 05 A9 01 8D 59 15 6B AD 3C 11 D0 06 22 85 A0 84 80 04 22 8F A0 84 60 9C 07 03 A9 02 8D 5F 03 9C 19 16 AD 05 03 22 08 85 84 A9 01 22
71,47,84:9CC0,0x049CC0,D3 A3 81,81:A3D3,0x01A3D3,0,23,EE 68 12 9C 11 15 C2 20 A9 EB A3 85 0F E2 20 A9,EE 68 12 9C 11 15 C2 20 A9 EB A3 85 0F E2 20 A9 32 85 0D 22 1E AC 80 6B A2 00 BD 91 15 85 6B A9 55 22 16 92 83 9D 15 03 E8 E0 0A 90 ED 22 E8 AC 80 A2 00 BC 15 03 30 07 B9 34 12 89 01 F0 38 E8
72,48,84:9CC3,0x049CC3,30 E1 81,81:E130,0x01E130,0,31,22 DC D0 84 22 B9 A3 80 A9 A8 22 39 D1 84 C2 20,22 DC D0 84 22 B9 A3 80 A9 A8 22 39 D1 84 C2 20 A9 50 E1 85 B9 E2 20 A9 81 85 BB 22 B8 AF 84 6B 32 00 15 38 9E E1 81 50 50 50 21 3E 1A 03 1A D8 B7 50 50 50 50 50 21 3E 1A DA B9 50 50 50 50 50
73,49,84:9CC6,0x049CC6,5D C7 85,85:C75D,0x05C75D,0,30,DA A9 14 04 DE C2 20 A9 56 C3 85 0F E2 20 A9 18,DA A9 14 04 DE C2 20 A9 56 C3 85 0F E2 20 A9 18 85 0D 22 1E AC 80 AA AD 64 03 9D 99 07 FA 6B DA AA AD CD 12 48 C2 20 AD AD 03 48 E2 20 A9 80 8D AD 03 9C AE 03 22 BD A3 80 C2 20 68 8D AD 03 E2
74,4A,84:9CC9,0x049CC9,54 C9 85,85:C954,0x05C954,0,49,A9 01 8D 56 03 C2 20 A9 86 C9 85 B9 E2 20 A9 85,A9 01 8D 56 03 C2 20 A9 86 C9 85 B9 E2 20 A9 85 85 BB DA A2 01 9E 56 03 BD 69 15 F0 07 C9 17 B0 03 9D 56 03 E8 E0 04 90 EC 9C 58 19 22 B8 AF 84 FA 6B 37 32 01 08 22 57 03 21 3E 21 53 34 50 50
75,4B,84:9CCC,0x049CCC,42 C9 85,85:C942,0x05C942,0,67,9C 56 03 C2 20 A9 87 C9 85 B9 E2 20 A9 85 85 BB,9C 56 03 C2 20 A9 87 C9 85 B9 E2 20 A9 85 85 BB 80 12 A9 01 8D 56 03 C2 20 A9 86 C9 85 B9 E2 20 A9 85 85 BB DA A2 01 9E 56 03 BD 69 15 F0 07 C9 17 B0 03 9D 56 03 E8 E0 04 90 EC 9C 58 19 22 B8
76,4C,84:9CCF,0x049CCF,07 82 81,81:8207,0x018207,0,52,48 DA A6 DD E0 24 B0 2D AD 05 03 9D 21 15 AD 73,48 DA A6 DD E0 24 B0 2D AD 05 03 9D 21 15 AD 73 15 9D 1D 15 AD 7D 15 9D 1E 15 AD C3 15 9D 1F 15 AD C4 15 9D 20 15 AD B9 13 9D 22 15 8A 18 69 06 85 DD FA 68 6B 00 EA FA 68 5C CF 99 81 48 DA A5
77,4D,84:9CD2,0x049CD2,FE C9 85,85:C9FE,0x05C9FE,0,26,AD 29 19 8D 20 16 20 26 C1 C2 20 A9 19 CA 85 B9,AD 29 19 8D 20 16 20 26 C1 C2 20 A9 19 CA 85 B9 E2 20 A9 85 85 BB 22 FB B7 84 6B 32 09 01 50 21 53 34 50 50 50 06 50 21 44 32 50 43 05 01 18 15 21 44 33 50 50 85 21 44 33 50 50 01 18 42 21 44
78,4E,84:9CD5,0x049CD5,9D 95 85,85:959D,0x05959D,0,20,EE 68 12 C2 20 A9 B2 95 85 0F E2 20 A9 32 85 0D,EE 68 12 C2 20 A9 B2 95 85 0F E2 20 A9 32 85 0D 22 1E AC 80 6B 9C 77 03 22 74 A4 80 9C 3C 11 9C 82 03 A9 01 22 65 A0 80 A9 01 8D 35 11 22 C2 F4 81 22 E8 AC 80 22 61 A3 80 22 FC D8 80 20 16 96
79,4F,84:9CD8,0x049CD8,DF 97 85,85:97DF,0x0597DF,0,22,DA A9 03 85 06 64 07 A2 00 BD 91 15 22 49 B9 80,DA A9 03 85 06 64 07 A2 00 BD 91 15 22 49 B9 80 E8 E0 0A 90 F4 FA 6B DA A2 00 9E 3D 19 E8 E0 15 90 F8 20 A3 98 20 09 98 FA 6B DA A2 00 A9 FF 9F EE 45 7E A9 00 9F D6 45 7E E8 E0 08 90 EF FA 60
80,50,84:9CDB,0x049CDB,B0 97 85,85:97B0,0x0597B0,0,13,DA A2 00 22 BE 97 85 E8 E0 04 90 F7 FA 6B DA BD,DA A2 00 22 BE 97 85 E8 E0 04 90 F7 FA 6B DA BD 69 15 C9 17 B0 17 AA CA BF 5D 44 7E F0 0F 85 07 A9 03 85 06 FA DA BD 91 15 22 49 B9 80 FA 6B DA A9 03 85 06 64 07 A2 00 BD 91 15 22 49 B9 80 E8
81,51,84:9CDE,0x049CDE,A2 97 85,85:97A2,0x0597A2,0,13,DA AE 58 19 CA AD 64 03 9F 5D 44 7E FA 6B DA A2,DA AE 58 19 CA AD 64 03 9F 5D 44 7E FA 6B DA A2 00 22 BE 97 85 E8 E0 04 90 F7 FA 6B DA BD 69 15 C9 17 B0 17 AA CA BF 5D 44 7E F0 0F 85 07 A9 03 85 06 FA DA BD 91 15 22 49 B9 80 FA 6B DA A9 03
82,52,84:9CE1,0x049CE1,92 97 85,85:9792,0x059792,0,15,DA A2 00 A9 00 9F 5D 44 7E E8 E0 15 90 F7 FA 6B,DA A2 00 A9 00 9F 5D 44 7E E8 E0 15 90 F7 FA 6B DA AE 58 19 CA AD 64 03 9F 5D 44 7E FA 6B DA A2 00 22 BE 97 85 E8 E0 04 90 F7 FA 6B DA BD 69 15 C9 17 B0 17 AA CA BF 5D 44 7E F0 0F 85 07 A9 03
83,53,84:9CE4,0x049CE4,4B A4 81,81:A44B,0x01A44B,0,25,5A DA A2 00 BC 91 15 B9 27 0B 29 0F 0D 64 03 99,5A DA A2 00 BC 91 15 B9 27 0B 29 0F 0D 64 03 99 27 0B E8 E0 0A 90 ED FA 7A 6B EE 68 12 C2 20 A9 7A A4 85 0F E2 20 A9 32 85 0D 22 1E AC 80 6B A5 DE 89 04 D0 08 CE 68 12 22 35 AD 80 6B 6B A9 10
84,54,84:9CE7,0x049CE7,65 A4 81,81:A465,0x01A465,0,20,EE 68 12 C2 20 A9 7A A4 85 0F E2 20 A9 32 85 0D,EE 68 12 C2 20 A9 7A A4 85 0F E2 20 A9 32 85 0D 22 1E AC 80 6B A5 DE 89 04 D0 08 CE 68 12 22 35 AD 80 6B 6B A9 10 1C 4F 15 22 D2 93 81 6B 5A DA 9C 1B 16 9C 1C 16 A0 00 9C 1A 16 B9 69 15 F0 77
85,55,84:9CEA,0x049CEA,92 B5 83,83:B592,0x03B592,0,62,A9 7F 8F E5 55 7E 8F E8 55 7E C2 20 A9 00 00 8F,A9 7F 8F E5 55 7E 8F E8 55 7E C2 20 A9 00 00 8F E6 55 7E 8F E9 55 7E E2 20 8F EB 55 7E A9 01 8F EA 55 7E 20 DA B3 A2 00 BF D1 B5 83 8D 0B 03 BF D5 B5 83 8D 11 03 20 D9 B5 E8 E0 04 90 EA 6B 00
86,56,84:9CED,0x049CED,F4 B5 83,83:B5F4,0x03B5F4,0,20,EE 68 12 C2 20 A9 09 B6 85 0F E2 20 A9 32 85 0D,EE 68 12 C2 20 A9 09 B6 85 0F E2 20 A9 32 85 0D 22 1E AC 80 6B 9E 19 06 9E 59 06 22 E8 AC 80 A5 5B F0 0F BD 19 06 C9 10 90 08 CE 68 12 22 35 AD 80 6B FE 59 06 BD 59 06 C9 08 90 0D 9E 59 06 BD
87,57,84:9CF0,0x049CF0,54 B6 83,83:B654,0x03B654,0,20,EE 68 12 C2 20 A9 69 B6 85 0F E2 20 A9 32 85 0D,EE 68 12 C2 20 A9 69 B6 85 0F E2 20 A9 32 85 0D 22 1E AC 80 6B A9 10 9D 19 06 9E 59 06 22 E8 AC 80 FE 59 06 BD 59 06 C9 04 90 08 9E 59 06 DE 19 06 F0 17 BD 19 06 C2 20 29 FF 00 18 6F E6 55 7E
88,58,84:9CF3,0x049CF3,4A D6 85,85:D64A,0x05D64A,0,20,EE 68 12 C2 20 A9 5F D6 85 0F E2 20 A9 32 85 0D,EE 68 12 C2 20 A9 5F D6 85 0F E2 20 A9 32 85 0D 22 1E AC 80 6B 9E 19 06 9E 59 06 9E 99 06 22 E8 AC 80 A9 48 22 E3 AC 80 22 F9 C6 80 A9 00 EB A9 04 22 10 A5 80 AD 5D 19 0A 85 00 0A 0A 65 00 3A
