group,row_index,file_pc,bytes,b0,b1,b2,b3,b4,b5,b6,slot3_word_le,lorom_label_if_bank87
B_39916,12,0x039982,38 05 01 08 32 37 15 db f0,38,05,01,08,32,37,15,F0DB,$87:F0DB
B_39916,13,0x03998B,38 05 01 12 32 9d 2b db f0,38,05,01,12,32,9D,2B,F0DB,$87:F0DB
B_39916,14,0x039994,38 05 01 10 32 8b 27 db f0,38,05,01,10,32,8B,27,F0DB,$87:F0DB
B_39916,15,0x03999D,38 05 01 0f 32 82 25 db f0,38,05,01,0F,32,82,25,F0DB,$87:F0DB
B_39916,16,0x0399A6,38 05 01 11 32 94 29 db f0,38,05,01,11,32,94,29,F0DB,$87:F0DB
B_39916,17,0x0399AF,38 05 01 13 32 a6 2d db f0,38,05,01,13,32,A6,2D,F0DB,$87:F0DB
B_39916,18,0x0399B8,38 05 01 16 32 c1 33 db f0,38,05,01,16,32,C1,33,F0DB,$87:F0DB
B_39916,19,0x0399C1,38 05 01 15 32 b8 31 db f0,38,05,01,15,32,B8,31,F0DB,$87:F0DB
B_39916,20,0x0399CA,37 05 01 19 35 1c 0a c6 f0,37,05,01,19,35,1C,0A,F0C6,$87:F0C6
B_39916,21,0x0399D3,37 05 01 1a 35 2b 0f cd f0,37,05,01,1A,35,2B,0F,F0CD,$87:F0CD
B_39916,22,0x0399DC,37 05 01 1b 35 34 11 d4 f0,37,05,01,1B,35,34,11,F0D4,$87:F0D4
B_39916,23,0x0399E5,0c 05 04 26 35 3b 00 b1 f0,0C,05,04,26,35,3B,00,F0B1,$87:F0B1
B_39993,0,0x039993,f0 38 05 01 10 32 8b 27 db,F0,38,05,01,10,32,8B,DB27,$87:DB27
B_39993,1,0x03999C,f0 38 05 01 0f 32 82 25 db,F0,38,05,01,0F,32,82,DB25,$87:DB25
B_39993,2,0x0399A5,f0 38 05 01 11 32 94 29 db,F0,38,05,01,11,32,94,DB29,$87:DB29
B_39993,3,0x0399AE,f0 38 05 01 13 32 a6 2d db,F0,38,05,01,13,32,A6,DB2D,$87:DB2D
B_39993,4,0x0399B7,f0 38 05 01 16 32 c1 33 db,F0,38,05,01,16,32,C1,DB33,$87:DB33
B_39993,5,0x0399C0,f0 38 05 01 15 32 b8 31 db,F0,38,05,01,15,32,B8,DB31,$87:DB31
B_39993,6,0x0399C9,f0 37 05 01 19 35 1c 0a c6,F0,37,05,01,19,35,1C,C60A,$87:C60A
B_39993,7,0x0399D2,f0 37 05 01 1a 35 2b 0f cd,F0,37,05,01,1A,35,2B,CD0F,$87:CD0F
B_39993,8,0x0399DB,f0 37 05 01 1b 35 34 11 d4,F0,37,05,01,1B,35,34,D411,$87:D411
B_39993,9,0x0399E4,f0 0c 05 04 26 35 3b 00 b1,F0,0C,05,04,26,35,3B,B100,$87:B100
B_39993,10,0x0399ED,f0 10 00 41 45 31 16 00 1d,F0,10,00,41,45,31,16,1D00,
B_39993,11,0x0399F6,f1 2c 05 01 2f 17 54 00 36,F1,2C,05,01,2F,17,54,3600,
B_39993,12,0x0399FF,f1 0b 00 3c 41 31 0e 00 d0,F1,0B,00,3C,41,31,0E,D000,$87:D000
B_39993,13,0x039A08,f1 0b 00 3c 41 31 0e 00 2b,F1,0B,00,3C,41,31,0E,2B00,
B_39993,14,0x039A11,f2 0b 00 3c 41 31 0e 00 e7,F2,0B,00,3C,41,31,0E,E700,$87:E700
B_39993,15,0x039A1A,f2 0b 00 3f 43 30 00 00 0a,F2,0B,00,3F,43,30,00,0A00,
F0C6_cluster_399C8,0,0x0399C8,db f0 37 05 01 19 35 1c 0a,DB,F0,37,05,01,19,35,0A1C,
F0C6_cluster_399C8,1,0x0399D1,c6 f0 37 05 01 1a 35 2b 0f,C6,F0,37,05,01,1A,35,0F2B,
F0C6_cluster_399C8,2,0x0399DA,cd f0 37 05 01 1b 35 34 11,CD,F0,37,05,01,1B,35,1134,
F0C6_cluster_399C8,3,0x0399E3,d4 f0 0c 05 04 26 35 3b 00,D4,F0,0C,05,04,26,35,003B,
F0C6_cluster_399C8,4,0x0399EC,b1 f0 10 00 41 45 31 16 00,B1,F0,10,00,41,45,31,0016,
F0C6_cluster_399C8,5,0x0399F5,1d f1 2c 05 01 2f 17 54 00,1D,F1,2C,05,01,2F,17,0054,
F0C6_cluster_399C8,6,0x0399FE,36 f1 0b 00 3c 41 31 0e 00,36,F1,0B,00,3C,41,31,000E,
F0C6_cluster_399C8,7,0x039A07,d0 f1 0b 00 3c 41 31 0e 00,D0,F1,0B,00,3C,41,31,000E,
F0C6_cluster_399C8,8,0x039A10,2b f2 0b 00 3c 41 31 0e 00,2B,F2,0B,00,3C,41,31,000E,
F0C6_cluster_399C8,9,0x039A19,e7 f2 0b 00 3f 43 30 00 00,E7,F2,0B,00,3F,43,30,0000,
F0C6_cluster_399C8,10,0x039A22,0a f1 10 05 09 2b 37 27 0e,0A,F1,10,05,09,2B,37,0E27,
F0C6_cluster_399C8,11,0x039A2B,22 e8 10 05 01 2b 37 29 0e,22,E8,10,05,01,2B,37,0E29,
F0C6_cluster_399C8,12,0x039A34,a3 f3 10 05 09 30 37 6c 00,A3,F3,10,05,09,30,37,006C,
F0C6_cluster_399C8,13,0x039A3D,b6 f3 02 05 09 30 07 6d 00,B6,F3,02,05,09,30,07,006D,
F0C6_cluster_399C8,14,0x039A46,d0 f3 2c 05 09 30 37 6c 00,D0,F3,2C,05,09,30,37,006C,
F0C6_cluster_399C8,15,0x039A4F,22 e8 2c 05 09 30 37 6e 00,22,E8,2C,05,09,30,37,006E,
