pattern,rom_offset,snes_linear,context_hex
DMA0_BBAD_write,00A238,C0:A238,29 84 c9 80 f0 04 a9 18 80 02 a9 19 8d 01 43 a9 7e 8d 04 43 c2 20 ad bd 03 18 69
DMA0_BBAD_write,00B0E4,C0:B0E4,02 43 a9 0e 8d 03 43 9c 04 43 a9 04 8d 01 43 a9 20 8d 05 43 a9 02 8d 06 43 9c 02
DMA0_BBAD_write,00B3ED,C0:B3ED,ad e6 0a f0 40 a9 00 8d 00 43 a9 22 8d 01 43 a9 c2 8d 02 43 a9 21 8d 03 43 a9 7e
DMA0_BBAD_write,00C951,C0:C951,ad 3d 11 f0 65 a9 81 8d 00 43 a9 39 8d 01 43 18 a9 db 6d 40 11 8d 02 43 a9 28 6d
DMA0_A1T_write,00A13C,C0:A13C,01 8d bf 03 e2 20 60 c2 20 a9 00 20 8d 02 43 e2 20 a9 7e 8d 04 43 a5 3f 29 fe 8d
DMA0_A1T_write,00A249,C0:A249,8d 04 43 c2 20 ad bd 03 18 69 00 80 8d 02 43 ad b9 03 8d 05 43 ad bb 03 8d 16 21
DMA0_A1T_write,00B0D7,C0:B0D7,33 ad 1c 0a 8d 0d 11 9c 00 43 a9 e9 8d 02 43 a9 0e 8d 03 43 9c 04 43 a9 04 8d 01
DMA0_A1T_write,00B3F2,C0:B3F2,a9 00 8d 00 43 a9 22 8d 01 43 a9 c2 8d 02 43 a9 21 8d 03 43 a9 7e 8d 04 43 a9 00
DMA0_A1T_write,00C95A,C0:C95A,43 a9 39 8d 01 43 18 a9 db 6d 40 11 8d 02 43 a9 28 6d 41 11 8d 03 43 a9 7e 8d 04
DMA0_A1B_write,00A143,C0:A143,c2 20 a9 00 20 8d 02 43 e2 20 a9 7e 8d 04 43 a5 3f 29 fe 8d 05 43 9c 06 43 60 da
DMA0_A1B_write,00A23D,C0:A23D,04 a9 18 80 02 a9 19 8d 01 43 a9 7e 8d 04 43 c2 20 ad bd 03 18 69 00 80 8d 02 43
DMA0_A1B_write,00B3FC,C0:B3FC,a9 c2 8d 02 43 a9 21 8d 03 43 a9 7e 8d 04 43 a9 00 8d 05 43 a9 02 8d 06 43 a9 00
DMA0_A1B_write,00C967,C0:C967,02 43 a9 28 6d 41 11 8d 03 43 a9 7e 8d 04 43 a9 00 8d 05 43 a9 04 8d 06 43 a9 00
DMA0_DAS_write,00A14A,C0:A14A,43 e2 20 a9 7e 8d 04 43 a5 3f 29 fe 8d 05 43 9c 06 43 60 da c2 30 ae b1 03 a5 0f
DMA0_DAS_write,00A24F,C0:A24F,bd 03 18 69 00 80 8d 02 43 ad b9 03 8d 05 43 ad bb 03 8d 16 21 e2 20 a9 01 8d 0b
DMA0_DAS_write,00B0E9,C0:B0E9,03 43 9c 04 43 a9 04 8d 01 43 a9 20 8d 05 43 a9 02 8d 06 43 9c 02 21 9c 03 21 9c
DMA0_DAS_write,00B401,C0:B401,a9 21 8d 03 43 a9 7e 8d 04 43 a9 00 8d 05 43 a9 02 8d 06 43 a9 00 8d 07 43 9c 21
DMA0_DAS_write,00C96C,C0:C96C,41 11 8d 03 43 a9 7e 8d 04 43 a9 00 8d 05 43 a9 04 8d 06 43 a9 00 8d 07 43 ad 3e
