call,rom_offset,callee,state_source_category,state_source,group_source_category,group_index_if_static,group_source,context_before,state_if_static,script_if_group_state_static
C3:F196,0x03F196,AE79_preserve_cursor,imm_54,#54,unknown,,,C3:F182  d0 09       BNE $09 | C3:F184  a9 00       LDA # $00 | C3:F186  eb          OPEB  | C3:F187  a9 36       LDA # $36 | C3:F189  22 10 a5 80 JSL $80:A510 | C3:F18D  a9 54       LDA # $54 | C3:F18F  85 00       STA dp $00 | C3:F191  18          CLC  | C3:F192  6d c7 15    OP6D $15C7 | C3:F195  3a          DEC A ,84.0,
C1:8F0D,0x018F0D,AE88_reset_cursor,dynamic,"C1:8F0A  bd b9 15    LDA abs,X $15B9",existing,,uses existing $0B27 group,"C1:8EF0  9d 87 15    STA abs,X $1587 | C1:8EF3  b9 27 0b    LDA abs,Y $0B27 | C1:8EF6  29 0f       AND # $0F | C1:8EF8  8d 1e 0a    STA abs $0A1E | C1:8EFB  b9 67 0d    LDA abs,Y $0D67 | C1:8EFE  a5 07       LDA dp $07 | C1:8F00  22 5e b2 80 JSL $80:B25E | C1:8F04  a5 06       LDA dp $06 | C1:8F06  22 89 bc 80 JSL $80:BC89 | C1:8F0A  bd b9 15    LDA abs,X $15B9",,
C1:8F60,0x018F60,AE88_reset_cursor,imm_00,#00,unknown,,,"C1:8F47  f0 60       BEQ $60 | C1:8F49  bd 69 15    LDA abs,X $1569 | C1:8F4C  d0 04       BNE $04 | C1:8F4E  00 ea       OP00 $EA | C1:8F50  80 57       BRA $57 | C1:8F52  a9 05       LDA # $05 | C1:8F54  8d 5f 03    STA abs $035F | C1:8F57  22 3c 96 81 JSL $81:963C | C1:8F5B  bc 91 15    OPBC $1591 | C1:8F5E  a9 00       LDA # $00",0.0,
C1:8FB9,0x018FB9,AE88_reset_cursor,imm_00,#00,unknown,,,C1:8FA6  20 03 93    JSR $9303 | C1:8FA9  fa          PLX  | C1:8FAA  7a          PLY  | C1:8FAB  60          RTS  | C1:8FAC  5a          PHY  | C1:8FAD  ad 98 13    LDA abs $1398 | C1:8FB0  c9 01       CMP # $01 | C1:8FB2  f0 41       BEQ $41 | C1:8FB4  bc 91 15    OPBC $1591 | C1:8FB7  a9 00       LDA # $00,0.0,
C1:907D,0x01907D,AE88_reset_cursor,imm_00,#00,imm_00,0,#$00 -> group 0,"C1:9065  29 bf       AND # $BF | C1:9067  99 27 0b    STA abs,Y $0B27 | C1:906A  e0 00       CPX # $00 | C1:906C  d0 05       BNE $05 | C1:906E  ad c7 15    LDA abs $15C7 | C1:9071  80 03       BRA $03 | C1:9073  bd f3 15    LDA abs,X $15F3 | C1:9076  20 90 90    JSR $9090 | C1:9079  80 06       BRA $06 | C1:907B  a9 00       LDA # $00",0.0,
C1:9290,0x019290,AE88_reset_cursor,imm_04,#04,imm_24,4,#$24 -> group 4,C1:927C  f0 10       BEQ $10 | C1:927E  c9 0b       CMP # $0B | C1:9280  f0 08       BEQ $08 | C1:9282  c9 09       CMP # $09 | C1:9284  f0 04       BEQ $04 | C1:9286  a9 01       LDA # $01 | C1:9288  80 06       BRA $06 | C1:928A  a9 03       LDA # $03 | C1:928C  80 02       BRA $02 | C1:928E  a9 04       LDA # $04,4.0,"C1:2FE1 frame_seq=24,20,21,22,23,26,27,28,27,26,23,25,23,22,21,20 dur=5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5"
C1:92F5,0x0192F5,AE88_reset_cursor,imm_02,#02,imm_24,4,#$24 -> group 4,"C1:92DB  a8          TAY  | C1:92DC  a9 24       LDA # $24 | C1:92DE  99 27 0b    STA abs,Y $0B27 | C1:92E1  a9 02       LDA # $02 | C1:92E3  22 5e b2 80 JSL $80:B25E | C1:92E7  a9 1c       LDA # $1C | C1:92E9  22 89 bc 80 JSL $80:BC89 | C1:92ED  a9 01       LDA # $01 | C1:92EF  22 a9 bc 80 JSL $80:BCA9 | C1:92F3  a9 02       LDA # $02",2.0,C1:2FBB frame_seq=10 dur=255
C1:B09A,0x01B09A,AE88_reset_cursor,imm_10,#10,imm_10,0,#$10 -> group 0,"C1:B07E  bd 59 06    LDA abs,X $0659 | C1:B081  8d 0b 03    STA abs $030B | C1:B084  bd 99 06    LDA abs,X $0699 | C1:B087  8d 0d 03    STA abs $030D | C1:B08A  22 0f b1 81 JSL $81:B10F | C1:B08E  ad 56 18    LDA abs $1856 | C1:B091  22 50 b4 81 JSL $81:B450 | C1:B095  18          CLC  | C1:B096  7d d9 06    OP7D $06D9 | C1:B099  3a          DEC A ",16.0,"C5:2153 frame_seq=37,38,39,40 dur=7,7,7,7"
C1:B5CD,0x01B5CD,AE88_reset_cursor,imm_04,#04,imm_25,5,#$25 -> group 5,"C1:B5B1  99 27 0b    STA abs,Y $0B27 | C1:B5B4  a9 03       LDA # $03 | C1:B5B6  22 5e b2 80 JSL $80:B25E | C1:B5BA  a9 21       LDA # $21 | C1:B5BC  22 89 bc 80 JSL $80:BC89 | C1:B5C0  a9 f0       LDA # $F0 | C1:B5C2  8d 11 11    STA abs $1111 | C1:B5C5  a9 01       LDA # $01 | C1:B5C7  22 a3 bc 80 JSL $80:BCA3 | C1:B5CB  a9 04       LDA # $04",4.0,C1:420A frame_seq=8 dur=255
C1:B5E0,0x01B5E0,AE88_reset_cursor,imm_03,#03,imm_25,5,#$25 -> group 5,"C1:B5C2  8d 11 11    STA abs $1111 | C1:B5C5  a9 01       LDA # $01 | C1:B5C7  22 a3 bc 80 JSL $80:BCA3 | C1:B5CB  a9 04       LDA # $04 | C1:B5CD  22 88 ae 80 JSL $80:AE88 | C1:B5D1  22 0f b1 81 JSL $81:B10F | C1:B5D5  bd 83 18    LDA abs,X $1883 | C1:B5D8  22 32 b8 81 JSL $81:B832 | C1:B5DC  90 06       BCC $06 | C1:B5DE  a9 03       LDA # $03",3.0,C1:4206 frame_seq=7 dur=255
C1:B66C,0x01B66C,AE88_reset_cursor,imm_03,#03,unknown,,,"C1:B650  80 35       BRA $35 | C1:B652  bd b3 18    LDA abs,X $18B3 | C1:B655  8d 23 19    STA abs $1923 | C1:B658  bd c3 18    LDA abs,X $18C3 | C1:B65B  8d 24 19    STA abs $1924 | C1:B65E  20 b2 b6    JSR $B6B2 | C1:B661  bd 83 18    LDA abs,X $1883 | C1:B664  20 46 b8    JSR $B846 | C1:B667  bc d3 18    OPBC $18D3 | C1:B66A  a9 03       LDA # $03",3.0,
C1:B7C4,0x01B7C4,AE88_reset_cursor,imm_04,#04,unknown,,,"C1:B7A9  22 c3 ad 80 JSL $80:ADC3 | C1:B7AD  ad 23 19    LDA abs $1923 | C1:B7B0  0d 24 19    OP0D $1924 | C1:B7B3  d0 2c       BNE $2C | C1:B7B5  bd 19 06    LDA abs,X $0619 | C1:B7B8  aa          TAX  | C1:B7B9  bd 83 18    LDA abs,X $1883 | C1:B7BC  20 54 b8    JSR $B854 | C1:B7BF  bc d3 18    OPBC $18D3 | C1:B7C2  a9 04       LDA # $04",4.0,
C1:B9DA,0x01B9DA,AE88_reset_cursor,imm_DC,#DC,imm_22,2,#$22 -> group 2,"C1:B9BE  99 27 0b    STA abs,Y $0B27 | C1:B9C1  a9 39       LDA # $39 | C1:B9C3  22 5e b2 80 JSL $80:B25E | C1:B9C7  a9 35       LDA # $35 | C1:B9C9  22 89 bc 80 JSL $80:BC89 | C1:B9CD  a9 f0       LDA # $F0 | C1:B9CF  8d 11 11    STA abs $1111 | C1:B9D2  a9 0a       LDA # $0A | C1:B9D4  22 a3 bc 80 JSL $80:BCA3 | C1:B9D8  a9 dc       LDA # $DC",220.0,C1:1931 frame_seq=98 dur=255
C1:B9EC,0x01B9EC,AE88_reset_cursor,imm_DE,#DE,imm_22,2,#$22 -> group 2,"C1:B9CF  8d 11 11    STA abs $1111 | C1:B9D2  a9 0a       LDA # $0A | C1:B9D4  22 a3 bc 80 JSL $80:BCA3 | C1:B9D8  a9 dc       LDA # $DC | C1:B9DA  22 88 ae 80 JSL $80:AE88 | C1:B9DE  22 0f b1 81 JSL $81:B10F | C1:B9E2  bd e3 18    LDA abs,X $18E3 | C1:B9E5  20 50 ba    JSR $BA50 | C1:B9E8  90 06       BCC $06 | C1:B9EA  a9 de       LDA # $DE",222.0,C1:194D frame_seq=249 dur=255
C1:BAAA,0x01BAAA,AE88_reset_cursor,imm_DD,#DD,unknown,,,"C1:BA96  fa          PLX  | C1:BA97  6b          RTL  | C1:BA98  bd 19 06    LDA abs,X $0619 | C1:BA9B  aa          TAX  | C1:BA9C  bc 13 19    OPBC $1913 | C1:BA9F  a9 00       LDA # $00 | C1:BAA1  eb          OPEB  | C1:BAA2  a9 09       LDA # $09 | C1:BAA4  22 10 a5 80 JSL $80:A510 | C1:BAA8  a9 dd       LDA # $DD",221.0,
C1:BABD,0x01BABD,AE88_reset_cursor,imm_DE,#DE,unknown,,,"C1:BAA2  a9 09       LDA # $09 | C1:BAA4  22 10 a5 80 JSL $80:A510 | C1:BAA8  a9 dd       LDA # $DD | C1:BAAA  22 88 ae 80 JSL $80:AE88 | C1:BAAE  a9 10       LDA # $10 | C1:BAB0  22 e3 ac 80 JSL $80:ACE3 | C1:BAB4  bd 19 06    LDA abs,X $0619 | C1:BAB7  aa          TAX  | C1:BAB8  bc 13 19    OPBC $1913 | C1:BABB  a9 de       LDA # $DE",222.0,
C1:BD0A,0x01BD0A,AE88_reset_cursor,imm_00,#00,unknown,,,C1:BCF7  90 e6       BCC $E6 | C1:BCF9  a5 1e       LDA dp $1E | C1:BCFB  fa          PLX  | C1:BCFC  7a          PLY  | C1:BCFD  6b          RTL  | C1:BCFE  a9 01       LDA # $01 | C1:BD00  8d 47 15    STA abs $1547 | C1:BD03  6b          RTL  | C1:BD04  22 0f bd 81 JSL $81:BD0F | C1:BD08  a9 00       LDA # $00,0.0,
