call,rom_offset,callee,state_source_category,state_source,group_source_category,group_index_if_static,group_source,context_before,state_if_static,script_if_group_state_static
C4:93BD,0x0493BD,AE88_reset_cursor,imm_00,#00,unknown,,,"C4:93A9  b7 98       LDA [dp],Y $98 | C4:93AB  48          PHA  | C4:93AC  22 e8 b3 81 JSL $81:B3E8 | C4:93B0  aa          TAX  | C4:93B1  bc d9 05    OPBC $05D9 | C4:93B4  68          PLA  | C4:93B5  f0 14       BEQ $14 | C4:93B7  c9 ff       CMP # $FF | C4:93B9  d0 02       BNE $02 | C4:93BB  a9 00       LDA # $00",0.0,
C5:9874,0x059874,AE88_reset_cursor,imm_25,#25,imm_25,5,#$25 -> group 5,"C5:985A  a8          TAY  | C5:985B  a9 25       LDA # $25 | C5:985D  99 27 0b    STA abs,Y $0B27 | C5:9860  a9 0c       LDA # $0C | C5:9862  22 5e b2 80 JSL $80:B25E | C5:9866  a9 19       LDA # $19 | C5:9868  22 89 bc 80 JSL $80:BC89 | C5:986C  a9 01       LDA # $01 | C5:986E  22 a9 bc 80 JSL $80:BCA9 | C5:9872  a9 25       LDA # $25",37.0,C1:51DA frame_seq=76 dur=16
C5:CCB2,0x05CCB2,AE88_reset_cursor,imm_71,#71,imm_20,0,#$20 -> group 0,"C5:CC98  a9 20       LDA # $20 | C5:CC9A  22 33 af 80 JSL $80:AF33 | C5:CC9E  a8          TAY  | C5:CC9F  a9 20       LDA # $20 | C5:CCA1  99 27 0b    STA abs,Y $0B27 | C5:CCA4  a9 40       LDA # $40 | C5:CCA6  22 83 bc 80 JSL $80:BC83 | C5:CCAA  a9 3a       LDA # $3A | C5:CCAC  22 a9 bc 80 JSL $80:BCA9 | C5:CCB0  a9 71       LDA # $71",113.0,C5:315E frame_seq=191 dur=255
C5:CFC7,0x05CFC7,AE88_reset_cursor,imm_38,#38,imm_38,8,#$38 -> group 8,"C5:CFAF  ad 69 15    LDA abs $1569 | C5:CFB2  22 77 b4 81 JSL $81:B477 | C5:CFB6  85 00       STA dp $00 | C5:CFB8  68          PLA  | C5:CFB9  05 00       OP05 $00 | C5:CFBB  99 27 0b    STA abs,Y $0B27 | C5:CFBE  ad 69 15    LDA abs $1569 | C5:CFC1  22 50 b4 81 JSL $81:B450 | C5:CFC5  1a          INC A  | C5:CFC6  1a          INC A ",56.0,C2:55FF frame_seq=61 dur=240
C5:D4CB,0x05D4CB,AE88_reset_cursor,imm_72,#72,imm_20,0,#$20 -> group 0,"C5:D4B0  a9 00       LDA # $00 | C5:D4B2  20 d1 d4    JSR $D4D1 | C5:D4B5  9c 5f 03    STZ abs $035F | C5:D4B8  a9 20       LDA # $20 | C5:D4BA  99 27 0b    STA abs,Y $0B27 | C5:D4BD  a9 40       LDA # $40 | C5:D4BF  22 83 bc 80 JSL $80:BC83 | C5:D4C3  a9 3a       LDA # $3A | C5:D4C5  22 a9 bc 80 JSL $80:BCA9 | C5:D4C9  a9 72       LDA # $72",114.0,C5:3162 frame_seq=192 dur=255
C5:E11A,0x05E11A,AE88_reset_cursor,imm_00,#00,unknown,,,C5:E109  90 f2       BCC $F2 | C5:E10B  fa          PLX  | C5:E10C  7a          PLY  | C5:E10D  60          RTS  | C5:E10E  5a          PHY  | C5:E10F  da          PHX  | C5:E110  aa          TAX  | C5:E111  a9 00       LDA # $00 | C5:E113  20 0a dc    JSR $DC0A | C5:E116  bf 2f e1 85 OPBF $85:E12F,0.0,
C5:E191,0x05E191,AE88_reset_cursor,dynamic,"C5:E176  b9 a7 0b    LDA abs,Y $0BA7",unknown,,,C5:E180  18          CLC  | C5:E181  80 01       BRA $01 | C5:E183  38          SEC  | C5:E184  7a          PLY  | C5:E185  60          RTS  | C5:E186  5a          PHY  | C5:E187  da          PHX  | C5:E188  a2 00       LDX # $00 | C5:E18A  bc cf 1f    OPBC $1FCF | C5:E18D  bf 2f e1 85 OPBF $85:E12F,,
C5:E1A3,0x05E1A3,AE88_reset_cursor,imm_00,#00,unknown,,,C5:E191  22 88 ae 80 JSL $80:AE88 | C5:E195  e8          INX  | C5:E196  e0 08       CPX # $08 | C5:E198  90 f0       BCC $F0 | C5:E19A  fa          PLX  | C5:E19B  7a          PLY  | C5:E19C  60          RTS  | C5:E19D  5a          PHY  | C5:E19E  ac e8 1f    OPAC $1FE8 | C5:E1A1  a9 00       LDA # $00,0.0,
C5:E331,0x05E331,AE88_reset_cursor,imm_5B,#5B,unknown,,,C5:E317  85 0f       STA dp $0F | C5:E319  e2 20       SEP $20 | C5:E31B  22 14 ac 80 JSL $80:AC14 | C5:E31F  20 96 e4    JSR $E496 | C5:E322  6b          RTL  | C5:E323  a9 14       LDA # $14 | C5:E325  22 e3 ac 80 JSL $80:ACE3 | C5:E329  20 e7 db    JSR $DBE7 | C5:E32C  9c 6a 03    STZ abs $036A | C5:E32F  a9 5b       LDA # $5B,91.0,
C5:E403,0x05E403,AE88_reset_cursor,imm_5C,#5C,unknown,,,C5:E3EA  aa          TAX  | C5:E3EB  ad 06 03    LDA abs $0306 | C5:E3EE  c9 70       CMP # $70 | C5:E3F0  f0 06       BEQ $06 | C5:E3F2  bf 27 e4 85 OPBF $85:E427 | C5:E3F6  80 04       BRA $04 | C5:E3F8  bf 53 e4 85 OPBF $85:E453 | C5:E3FC  cd 57 19    OPCD $1957 | C5:E3FF  d0 13       BNE $13 | C5:E401  a9 5c       LDA # $5C,92.0,
